company_name,stock_ticker,company_location,current_stock_price,description,Industry,Founded,Headquarters,Country/Territory,CEO and Chair,Employees,Revenue,Assets,Profits,Previous Close,Open,Day’s Range,Volume,52 Week Range,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Price to Tangible Book Value (ttm),Total Enterprise Value to EBIT (ttm),Total Enterprise Value to EBITDA (ttm),Total Enterprise Value to Total Revenue (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),EBITDA Growth (y/o/y),Diluted EPS Growth (y/o/y),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Consensus Recommendation,Consensus Price,Range of Price Targets,Range of EPS,Consensus EPS,Consensus Revenue,Range of Revenue,Chief Executive Officer,CEO,CEO and President,Chairman,"Chair, CEO and Founder",Chairman of the board,Group CEO and President,Chairman and CEO,Vice Chairman,"CEO, President, and Chair","CEO, Director, and Deputy Party Committee Secretary",Co-CEO,"CEO, President, and Founder",President and CEO,"President, Canada",Chief Executive Officer,Co-CEOs & Co-Presidents,President,"Chairman, President and CEO",Executive Chair and CEO,President & CEO,CEO & Co-Founder,Co-CEOs,CEO & Founder,Chairman and Co-CEO,Chairman and Chief Executive Officer,"Co-Founder, Co-CEO and Chairman",Charter President,President & Representative Director,CEO and Chairman
Rolls-Royce Holdings,,"London, United Kingdom",,"Rolls-Royce Holdings Plc designs, develops, manufactures, and services integrated power systems for use in the air, on land, and at sea. The company operates through following segments: Civil Aerospace, Power Systems, Defense, ITP Aero, and Corporate. The Civil Aerospace segment offers commercial aero engines and aftermarket services. The Power Systems segment includes engines, power systems and nuclear systems for civil power generation. The Defense segment consists of military aero engines, naval engines, submarines and aftermarket services. The ITP Aero segment provides aeronautical engines and gas turbines. The company was founded in March 1906 and is headquartered in London, the United Kingdom. Read Less","Engineering, Manufacturing",1906,London,United Kingdom,,"50,000",$16.7B,$35.4B,-$1.4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tufan Erginbilgic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Merchants Securities,,"Shenzhen, China",,"China Merchants Securities Co., Ltd. engages in investment banking. Its business activities include securities brokerage, investment consulting, financial advisors, securities trading and asset management. It also engages in the provision of intermediary services for future companies as well as the sale of securities investment fund. The company was founded on August 8, 1991 and is headquartered in Shenzhen, China.",Diversified Financials,1991,Shenzhen,China,,"12,005",$4.9B,$89.8B,$1.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jian Tao Xiong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credicorp,NYSE: BAP,"Lima, Peru",$168.29,"Credicorp Ltd. is a holding company, which engages in the provision of financial services. It operates through the following segments: Universal Banking; Insurance & Pensions; Microfinance; and Investment Banking & Wealth Management. The Universal Banking segment includes the operations related to the granting of various credits and financial instruments to individuals and legal entities. The Insurance and Pensions segment includes the issue of insurance policies to cover losses in commercial property, transport, marine vessels, automobiles, life, health and pensions and also provides management service of private pension funds to the affiliates. The microfinance segment includes the management of loans, credits, deposits and current accounts of the small and microenterprises. The Investment Banking & Wealth Management segment includes the brokerage service and investment management services offered to clientele, which includes corporations, institutional investors, governments and foundations; also, the structuring and placement of issues in the primary market, as well as the execution and negotiation of transactions in the secondary market. The company was founded on October 20, 1995 and is headquartered in Lima, Peru. Read Less",Banking,1995,Lima,Peru,,"36,968",$5.9B,$62.1B,$1.2B,167.07,165.98,165.49 x 168.42,"318,655",116.42 x 173.39,$13.39B,10.24,9.19,61.00,N/A,4.06%,"May 18, 2023",3.08,1.53,1.70,N/A,N/A,N/A,N/A,N/A,30.07%,2.09%,15.82%,$6.87B,202.88,4.56%,N/A,N/A,4.94,$39.72B,426.62,$37.04B,N/A,N/A,Outperform,173.17,140.00 to 191.95,17.37 to 18.91,18.32,$5.38B,$5.23B to $5.64B,Gianfranco Piero Ferrari ce las Casas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Steel,NYSE: X,"Pittsburgh, Pennsylvania",$46.17,"United States Steel Corp. engages in the manufacturing and selling of steel products. It operates through the following business segments: Flat-Rolled Products, U.S. Steel Europe, and Tubular Products. The Flat-Rolled Products segment includes managing steel plants and production facilities that manufacture steel slabs, rounds, strip mill plates, sheets, tin mill, iron ore, and coke. The U.S. Steel Europe segment offers producing and marketing strip mill plates, spiral welded pipe, heating radiators, refractory ceramic materials. The Tubular Products segment involves in manufacturing and trading seamless and electric resistance welded steel casing and tubing. line pipe, and mechanical tubing. The company was founded in 1901 by Andrew Carnegie, John Pierpont Morgan, Charles Michael Schwab and Elbert Henry Gary and is headquartered in Pittsburgh, PA. Read Less",Materials,1901,"Pittsburgh, Pennsylvania",United States,,"22,740",$20.3B,$19.5B,$1.8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David B. Burritt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MercadoLibre, MELI,"Montevideo, Uruguay",$1737.77,"MercadoLibre, Inc. engages in the provision of online commerce platform with focus on e-commerce and its related services. It operates through the following geographical segments: Brazil, Argentina, Mexico, Venezuela, and Other Countries. The firm provides users a mechanism for buying, selling and paying as well as collecting, generating leads, and comparing lists through e-commerce transactions. The company was founded by Marcos Eduardo Galperin on October 15, 1999 and is headquartered in Buenos Aires, Argentina.",Business Services & Supplies,1999,Montevideo,Uruguay,,"40,055",$11.3B,$14.2B,$618M,1740.01,1740.21,1711.35 x 1752.61,"325,939",1063.02 x 1800.09,$87.86B,88.86,54.33,19.56,N/A,N/A,"Dec 28, 2017",6.60,32.01,34.26,45.23,33.29,6.63,56.61%,14.63%,7.47%,8.60%,45.15%,$13.21B,263.36,36.72%,$2.44B,128.62%,262.66,$5.49B,42.99,$5.25B,191.43%,1.27,Outperform,1880.70,1330.00 to 2200.00,25.94 to 37.60,31.99,$16.78B,$15.71B to $17.84B,Marcos Eduardo Galperin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Airlines,,"London, United Kingdom",,"International Consolidated Airlines Group SA is a holding company, company engages in the provision of passenger and freight air transportation services. It operates through the following segments: British Airways, Iberia, Vueling, Aer Lingus, and Other Group companies. The company was founded on January 21, 2011 and is headquartered in London, The United Kingdom.",Transportation,1974,London,United Kingdom,,"66,044",$24.3B,$41.9B,$474.4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luís Gallego Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markel,NYSE: MKL,"Glen Allen, Virginia",$1462.82,"Markel Corp. is a financial holding company, which engages in underwriting specialty insurance products for a variety of niche markets. It operates through the following segments: Insurance and Reinsurance. The Insurance segment includes all direct business and facultative placements written within the company's underwriting operations. The Reinsurance segment includes all treaty reinsurance written within the company's underwriting operations. Markel was founded by Samuel A. Markel in 1930 and is headquartered in Glen Allen, VA.",Insurance,1930,"Glen Allen, Virginia",United States,,"20,900",$12.7B,$40.2B,$307.9M,1453.13,1456.28,1451.11 x 1467.91,"38,392",1186.56 x 1560.00,$19.34B,9.95,16.96,146.98,N/A,N/A,N/A,1.24,1.44,2.12,6.78,6.17,1.26,48.35%,18.53%,12.63%,N/A,14.91%,$9.03B,1184.06,35.36%,$3.22B,809.55%,N/A,$6.61B,329.13,$3.77B,25.95%,N/A,Hold,1447.86,1250.00 to 1650.00,67.35 to 97.61,86.25,$15.28B,$14.88B to $15.73B,Thomas Sinnickson Gayner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovintiv,NYSE: OVV,"Denver, Colorado",$46.31,"Ovintiv, Inc. produces and develops multi-basin portfolio of oil, natural gas liquids and natural gas producing plays. The firm operates through the following segments: Canadian Operations, USA Operations and Market Optimization. The Canadian Operations segment includes the exploration for, development of, and production of oil, NGLs, natural gas and other related activities within Canada. The USA Operations segment includes the exploration for, development of, and production of oil, NGLs, natural gas and other related activities within the United States. The Market Optimization segment's activities are managed by the Midstream, Marketing & Fundamentals team, which is primarily responsible for the sale of the Company's proprietary production to third party customers. The company was founded in 1881 and is headquartered in Denver, CO. Read Less",Oil & Gas Operations,1881,"Denver, Colorado",United States,,"1,744",$14.3B,$15.1B,$3.6B,44.34,44.68,44.42 x 46.32,"2,708,429",32.07 x 51.60,$16.99B,4.65,6.92,9.95,1.10,2.71%,"Dec 14, 2023",1.06,1.32,1.81,6.72,4.28,1.78,45.38%,26.42%,23.19%,10.65%,31.85%,$11.06B,43.58,-21.54%,$4.49B,-14.38%,-29.14,$3M,0.01,$7.08B,74.11%,0.45,Outperform,50.05,35.06 to 62.00,5.32 to 8.36,6.69,$11.32B,$11.07B to $11.72B,Brendan M. McCracken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENN Energy Holdings,,"Langfang, China",,"ENN Energy Holdings Ltd. is an investment company, which engages in the gas supply business. It operates through the following segments: Gas Connection, Sales of Piped Gas, Vehicle Gas Refuelling Stations, Wholesale of Gas, Sale of Integrated Energy and Services, Sales of Gas Appliances, and Sales of Material. The company was founded by Yu Suo Wang in 1992 and is headquartered in Langfang, China.",Oil & Gas Operations,1992,Langfang,China,,,$16.4B,$14.7B,$874.3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiao Jing Wu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizrahi Tefahot Bank,,"Ramat Gan, Israel",,"Mizrahi Tefahot Bank Ltd. engages in the provision of banking and financial services. Its products and services include private banking, checking accounts, savings, mortgages, credit cards, and loans. The company was founded on June 6, 1923 and is headquartered in Ramat Gan, Israel.",Banking,1923,Ramat Gan,Israel,,"7,523",$4.9B,$121.4B,$1.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moshe Lari MBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Beverage, MNST,"Corona, California",$55.14,"Monster Beverage Corp. is a holding company, which engages in the development, marketing, sale and distribution of energy drink beverages and concentrates. It operates through the following segments: Monster Energy Drinks, Strategic Brands and Other. The Monster Energy Drinks segment sells ready-to-drink packaged energy drinks to bottlers and full service beverage distributors. The Strategic Brands segment sells concentrates and beverage bases to authorized bottling and canning operations. The Other segment comprises of certain products sold by its subsidiary, American Fruits and Flavors LLC to independent third-party customers. The company was founded on April 25, 1990 and is headquartered in Corona, CA. Read Less","Food, Drink & Tobacco",1985,"Corona, California",United States,,"5,296",$6.5B,$8.8B,$1.3B,55.40,55.44,54.91 x 55.66,"5,714,282",47.13 x 60.47,$57.37B,37.38,31.25,1.48,N/A,N/A,N/A,8.33,7.29,11.48,28.21,27.06,7.86,52.58%,27.86%,22.62%,13.76%,21.32%,$6.92B,6.62,11.24%,$1.99B,19.65%,30.54,$3.01B,1.70,$54.49M,0.69%,4.51,Outperform,62.62,50.00 to 72.00,1.67 to 1.91,1.76,$7.81B,$7.58B to $8.1B,Rodney Cyril Sacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnival Corporation,NYSE: CCL,"Miami, Florida",$14.71,"Carnival Corp. engages in the operation of cruise ships. It operates through the following business segments: North America, Europe, Australia, and Asia (EEA), Cruise Support, and Tour and Other. The North America segment includes Carnival Cruise Line, Holland America Line, Princess Cruises, and Seabourn. The Europe, Australia, and Asia (EEA) segment comprises of AIDA, Costa, Cunard, P&O Cruises (Australia), P&O Cruises (UK). The Cruise Support segment represents port destinations and private islands for the benefit of its cruise brands. The Tour and Other segment operates hotel and transportation operations of Holland America Princess Alaska Tours. The company was founded in 1972 and is headquartered in Miami, FL. Read Less",Travel & Leisure,1974,"Miami, Florida",United States,,"75,000",$15B,$52B,-$4.9B,14.76,14.62,14.54 x 14.75,"18,543,901",8.37 x 19.74,$18.39B,N/A,14.76,-0.06,N/A,N/A,"Feb 20, 2020",0.86,2.70,3.62,24.63,10.58,2.22,49.56%,9.00%,-0.34%,2.41%,-1.06%,$21.59B,17.11,77.44%,$4.31B,N/A,N/A,$2.42B,1.91,$31.91B,463.63%,0.46,Outperform,20.90,13.00 to 27.50,0.87 to 1.23,1.00,$24.6B,$23.73B to $25.05B,Josh Weinstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meritz Financial Group,,"Seoul, South Korea",,"MERITZ Financial Group, Inc. engages in the management of its subsidiaries. It manages subsidiaries which engages in the insurance and finance related works. The company was founded on March 28, 2011 and is headquartered in Seoul, South Korea.",Diversified Financials,2007,Seoul,South Korea,,20,$10.7B,$72.9B,$807M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yong-Beom Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hormel Foods,NYSE: HRL,"Austin, Minnesota",$29.74,"Hormel Foods Corp. engages in the production of meat and food products. It operates through the following segments: Grocery Products, Refrigerated Foods, Jennie-O Turkey Store, and International and Other. The Grocery Products segment consists primarily of the processing, marketing, and sale of shelf-stable food products sold in the retail market. The Refrigerated Foods segment involves in the processing, marketing, and sale of branded and unbranded pork, beef, and poultry products for retail, foodservice, deli, and commercial customers. The Jennie-O Turkey Store segment includes processing, marketing, and sale of branded and unbranded turkey products for retail, foodservice, and fresh product customers. The International and Other segment comprises Hormel Foods International which manufactures, markets, and sells Company products internationally. The company was founded by George A. Hormel in 1891 and is headquartered in Austin, MN. Read Less",Retail and Wholesale,1891,"Austin, Minnesota",United States,,"20,000",$12.4B,$13.3B,$978.1M,29.44,29.57,29.37 x 29.76,"3,797,709",28.51 x 46.04,$16.26B,20.51,19.21,1.45,1.10,3.84%,"Jan 12, 2024",1.34,2.10,15.49,17.23,9.98,1.57,16.51%,8.73%,6.55%,4.94%,10.38%,$12.11B,22.16,-2.80%,$1.31B,-13.83%,-20.33,$753.2M,1.35,$3.44B,44.51%,1.43,Hold,30.44,26.00 to 33.40,1.53 to 1.57,1.55,$12.18B,$12.01B to $12.36B,,Jim Snee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Mengniu Dairy,,"Hong Kong, Hong Kong",,"China Mengniu Dairy Co., Ltd. is an investment holding company, which engages in the manufacture and distribution of dairy products. It operates through the following segments: Liquid Milk Products, Ice Cream Products, Milk Powder Products, and Others. The Liquid Milk Products segment produces and distributes ultra-high temperature milk, milk beverages, and yogurt. The Ice Cream Products segment offers its products under the Deluxe, Mood for Green, Ice+, and Suibian brands. The Milk Powder Products segment includes infant milk formula brand products such as Milex, Meimengyi, Ruipuen Oushi Series, Yashily Super a-Golden, Yashili Golden Ambery, Arla Merla, Arla Baby & Me, and Dumex Series. The Others segment comprises of cheese products, plant-based nutrition product, and trading business. The company was founded on February 16, 2004 and is headquartered in Hong Kong. Read Less","Food, Drink & Tobacco",2004,Hong Kong,Hong Kong,,"47,329",$13.8B,$16.9B,$800.8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Min Fang Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTP Bank,,"Budapest, Hungary",,"OTP Bank Nyrt is engaged in providing commercial banking services. It operates through the following segments: OTP Core Hungary, Russia, Ukraine, Bulgaria, Romania, Serbia, Croatia, Slovakia, Montenegro, Leasing, Asset Management, Others, and Corporate Center. The company was founded on March 1, 1949 and is headquartered in Budapest, Hungary.",Banking,1949,Budapest,Hungary,,"37,866",$7B,$78.8B,$998.2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sándor Csányi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China International Capital,,"Beijing, China",,"China International Capital Corp. Ltd. engages in the provision of financial advisory services. It operates through the following business segments: Investment Banking, Equities, Fixed income, Currency, and Commodity (FICC), Wealth Management, Investment Management, and Others. The Investment Banking segment provides investment banking services, including equity financing, debt and structured financing, financial advisory services, and National Equities Exchange and Quotations (NEEQ) services. The Equities segment offers a wide range of equity sales and trading services. The FICC segment engages in trading of financial products, including fixed income, equities, currencies and commodities products. The Wealth Management segment engages in the provision of a range of wealth management products and services, consisting of advisory services, transactional services, capital-based intermediary services, and product services. The Investment Management segment designs and provides a wide range of asset management products and services for domestic and overseas investors. The CISC segment consists of the securities brokerage, investment consulting, financial advisory, securities underwriting and sponsorship, securities proprietary trading, asset management, margin financing and securities lending, distribution of financial products, and other business activities. The Others segment comprises of other business departments and back offices. The company was founded on July 31, 1995 and is headquartered in Beijing, China. Read Less",Diversified Financials,1995,Beijing,China,,"15,168",$2.5B,$93.3B,$1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhao Hui Huang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kone,,"Helsinki, Finland",,"Kone Oyj manufactures elevators, escalators, and automatic building doors. It also provides installation, maintenance, modernization and replacement solutions. The company was founded on October 27, 1910 and is headquartered in Espoo, Finland.","Engineering, Manufacturing",1910,Helsinki,Finland,,"60,000",$11.5B,$9.1B,$862M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henrik Georg Fredrik Ehrnrooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Financial Holding,,"Taipei, Taiwan",,"Mega Financial Holding Co., Ltd. engages in the management of investment business. It operates through the following business segments: Commercial Banking, Consumer Finance & Wealth Management, Investment & Various Agency, and Others. The Commercial Banking segment includes guarantee, import & export foreign exchange, domestic foreign currency exchange, international financial, short-term coupon, safe deposit box, and centrally registered entityless bond business; deposits, loans, foreign exchange transactions, ATM Business & electronic banking, and online banking. The Consumer Finance & Wealth Management segment includes credit cards, consumer loans, study loans, home purchase & repair loans, expert financial loans, specific money trust investment in domestic and foreign securities, and trust business. The Investment & Various Agency segment includes direct equity investment, and securities underwriting business; sales of gold and silver coins; agency of securities issuance, and agency of dividends. The company was founded on February 4, 2002 and is headquartered in Taipei, Taiwan. Read Less",Banking,2002,Taipei,Taiwan,,"9,786",$3.3B,$132.1B,$615M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuang Hua Hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sany Heavy Industry,,"Beijing, China",,"Sany Heavy Industry Co., Ltd. engages in the manufacturing and selling of construction engineering machineries, heavy lifting machineries, parking warehouse, common equipment, mechanical and electrical equipment products. It also engages in the R&D and distribution of engineering machinery types such as construction machinery, road construction machinery, and hoisting machinery. Its products include the concrete pump, truck mounted concrete pump, concrete batching plant, asphalt batching plant, roller, asphalt paver, motor grader, truck crane, crawler crane, of which the market shares of truck mounted concrete pump, concrete pump, and full hydraulic roller stand and the production of pump truck stand. The company was founded by Tang Xiu Guo on November 22, 1994 and is headquartered in Changsha, China. Read Less",Capital Goods,1994,Beijing,China,,"26,374",$11.4B,$23.2B,$611.7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hongfu Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGI,NYSE: GIB,"Montreal, Canada",$111.41,"CGI, Inc. engages in the provision of information technology (IT) and consulting services. It operates through the following segments: Northern Europe, Canada, France, U.S. Commercial and State Government, U.S. Federal, U.K., Eastern, Central and Southern Europe (ECS), and Asia Pacific Global Delivery Centers of Excellence (APC). The Northern Europe segment includes Nordics, Baltics, and Poland operations. The France segment comprises of the Luxembourg and Morocco operations. The ECS segment covers Netherlands and Germany. The APC segment covers India and Philippines. The company was founded by Serge Godin and André Imbeau in June 1976 and is headquartered in Montreal, Canada. Read Less",IT Software & Services,1976,Montreal,Canada,,"90,250",$10.3B,$11.9B,$1.2B,113.05,113.06,110.97 x 113.06,"169,861",88.74 x 116.08,$3.63B,6.00,N/A,10.66,1.40,2.22%,"Jun 19, 2023",9.63,0.60,0.60,N/A,N/A,N/A,57.89%,42.99%,160.32%,1.01%,10.36%,$376.47M,6.65,-3.33%,$163.47M,-10.20%,-2.00,$6.77M,0.12,$1.94B,31.77%,1.17,N/A,N/A,N/A to N/A,N/A to N/A,N/A,N/A,N/A to N/A,George D. Schindler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln National,NYSE: LNC,"Radnor, Pennsylvania",$26.98,"Lincoln National Corp. is a holding company, which operates multiple insurance and retirement businesses through its subsidiary companies. It provides advice and solutions that help empower people to take charge of their financial lives with confidence and optimism. The company operates through the following segments: Annuities, Retirement Plan Services, Life Insurance, Group Protection, and Other Operations. The Annuities segment provides tax-deferred investment growth and lifetime income opportunities for its clients by offering fixed and variable annuities. The Retirement Plan Services segment includes employers with retirement plan products and services, primarily in the defined contribution retirement plan marketplaces. The Life Insurance segment focuses on the creation and protection of wealth for its clients by providing life insurance products, including term insurance, both single and survivorship versions of universal life insurance, variable universal life insurance and indexed universal life insurance products. The Group Protection segment offers group non-medical insurance products, which includes term life, disability, dental, vision and accident and critical illness benefits and services to the employer marketplace through various forms of employee-paid and employer-paid plans. The Other Operations segment includes the financial data for operations. Lincoln National was founded in 1968 and is headquartered in Radnor, PA. Read Less",Insurance,1968,"Radnor, Pennsylvania",United States,,"11,316",$18.7B,$318B,-$2.2B,27.16,26.98,26.71 x 27.25,"1,403,805",18.50 x 33.10,$4.58B,N/A,4.02,-4.92,1.80,6.63%,"Jan 9, 2024",0.39,0.78,0.96,N/A,N/A,0.75,-5.70%,-5.70%,-6.46%,-0.12%,-13.12%,$9.55B,68.68,-37.95%,-$630.67M,N/A,N/A,$5.72B,19.83,$6.57B,95.33%,5.20,Hold,28.10,26.00 to 32.00,6.55 to 7.01,6.72,$18.54B,$16.97B to $19.84B,Ellen Gail Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidec,,"Kyoto, Japan",,"NIDEC CORP. engages in the development, manufacturing, and sales of small precision, automotive, commercial and industrial motors, motors for machinery, electronic and optical components, and other related products. It operates through the following segments: Nidec, Nidec Electronics Thailand, Nidec Singapore, Nidec Hong Kong, Nidec Sankyo, Nidec Copal, Nidec Techno Motor, Nidec Motor, Nidec Motors and Actuators, and Others. The Nidec segment includes Nidec Corporation, which develops and sells hard disk drive (HDD) motors, small motors, and in-vehicle products. The Nidec Electronics Thailand segment includes Nidec Electronics (Thailand) Co., Ltd. and its subsidiaries. It also manufactures and sells HDD motors. The Nidec Singapore segment includes Nidec Singapore Pte Ltd. and its subsidiaries. It also sells HDD and other small motors. The Nidec Hong Kong segment includes Nidec (Hong Kong) Co., Ltd. and its subsidiaries. It produces and markets HDD and other small motors. The Nidec Sankyo segment Nidec Sankyo Corp. and its subsidiaries. It manufactures and sells automotive products, electronic components, and other small motors. The Nidec Copal segment includes Nidec Copal Corp. and its subsidiaries. It manufactures and sells optical and electronic products and equipment. The Nidec Techno Motor segment includes Nidec Techno Motor Corp. and its subsidiaries. It produces and sells commercial and industrial products. The Nidec Motor segment includes Nidec US Holdings Corp. and its subsidiaries in North and South America, Asia, and Europe. Its main products include consumer electronics and commercial and industrial products. The Nidec Motors & Actuators segment includes Nidec Motors & Actuators (Germany) GmbH and its subsidiaries in Europe, Japan, Asia, and North and South America. It manufactures and sells automotive products. The Others segment includes Nidec Global Service Corp. The company was founded by Shigenobu Nagamori and Hiroshi Kobe on July 23, 1973 and is headquartered in Kyoto, Japan. Read Less",Capital Goods,1973,Kyoto,Japan,,"114,371",$16.6B,$21.6B,$332.1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shigenobu Nagamori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fosun International,,"Shanghai, China",,"Fosun International Ltd. engages in creating customer-to-maker ecosystems in health, happiness and wealth, and providing products and services for families. It operates through the following segments: Health Ecosystem, Happiness Ecosystem, Insurance and Finance, Investment, and Hive Property. The Health Ecosystem segment includes research and development, manufacture, sale, and trading of pharmaceutical and health products and providing medical services and health management. The Happiness Ecosystem segment comprises operation and investments in tourism and leisure, fashion consumer, and lifestyle industries. The Insurance and Finance segment involves in the operation of and investment in the insurance businesses, banking, and other financial businesses. The Investment segment consists of primary investments, secondary market investments, and investments in asset management companies and other companies of the group. The Hive Property segment focuses on the development and operation of the hive city properties. The company was founded on December 24, 2004 and is headquartered in Shanghai, China. Read Less",Conglomerate,1992,Shanghai,China,,"108,000",$26B,$118.4B,$106.6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chen Qiyu Xu Xiaoliang,,,,,,,
Guangzhou Automobile Group,,"Guangzhou, China",,"Guangzhou Automobile Group Co. Ltd. engages in the research and development, manufacturing, sales and after-sales services of passenger vehicles, commercial vehicles, motorcycles and auto parts. The company's business activities include the import and export of automobile-related products, automobile leasing, disassembling, and automobile credit. It also engages in the provision of logistics services, finance leasing, commercial factoring, renewable resources, insurance, insurance brokerage services, and equity investment. The company operates in five segments: Research & Development, Manufacture of Vehicles & Motorcycles, Parts & Components, Commercial Services and Financial Services. The Research & Development segment is mainly responsible for the groups general development plan of new products and new technology, as well as implementation of material R&D projects. The Manufacturer of Vehicles and Motorcycles segment products include GAC Mitsubishi ASX, Pajero, Outlander, Toyota Camry, Highlander, Yaris L, E'Z, Levin, standard motorcycles, sport bikes and scooters. The Parts and Components segment operates through its subsidiary and its controlling, investee companies and associated companies and Tong Fang Logistics in the upstream and downstream of the automobile industrial chain. The Parts and components segment includes engines, gearboxes, car seats, HVAC systems, auto lamps, automation accessories, redirectors, shock absorbers and accessories. The Financial segment provides financial investment, insurance, insurance broker, financial lease, automobile credit, and other related services. The company was founded on June 6, 1997 and is headquartered in Guangzhou, China. Read Less",Consumer Durables,1997,Guangzhou,China,,"100,121",$16.3B,$27.4B,$1.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xing Ya Feng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ, NDAQ,"New York, New York",$56.04,"Nasdaq, Inc. is a holding company, which engages in trading, clearing, exchange technology, regulatory, securities listing, information and public & private company services. It operates through the following segments: Market Services, Corporate Services, Information Services and Market Technology. The Market Services segment includes its equity derivative trading and clearing, cash equity trading, FICC and trade management services businesses. The Corporate Services segment includes its corporate solutions and listing services businesses. The Information Services segment includes data products, index licensing and services businesses. The Market Technology segment is a global technology solutions provider and partner to exchanges, clearing organizations, central securities depositories, regulators, banks, brokers and corporate businesses. The company was founded by Gordon S. Macklin in 1971 and is headquartered in New York, NY. Read Less",Banking and Financial Services,1971,"New York, New York",United States,,"5,000",$6.2B,$20.8B,$1.1B,55.54,55.39,55.11 x 56.06,"2,207,039",46.88 x 60.72,$32.33B,26.94,20.43,2.08,0.86,1.58%,"Dec 7, 2023",4.67,2.83,N/A,23.23,19.13,7.02,64.23%,30.34%,17.46%,4.33%,12.44%,$6.03B,12.01,-2.60%,$2.1B,7.79%,-7.96,$641M,0.83,$10.87B,100.41%,1.01,Hold,62.13,54.00 to 82.00,2.59 to 3.03,2.74,$4.62B,$4.53B to $4.72B,Adena T. Friedman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
