company_name,Ticker1,Industry,Country/Territory,Employees,Revenue,Assets,Profits,Sector,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Price to Sales (ttm),Price to Book Value (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),Total Cash Per Share,Total Debt/Equity,Current Ratio,Market Cap USD,EBITDA (ttm) USD,Total Cash USD,Total Debt USD,segment_list,business_segments_homologation
Rongsheng Petrochemical,002493.SZ,Trading Companies,China,19434.0,39.9,52.8,-0.1814,Basic Materials,,17.349207,-0.2,0.15,0.0137,0.3652244,2.8567696,0.090270005,0.04849,-0.00661,-0.00434,-0.03657,28.803,0.091,2.758,226.266,0.72,16.268743507968,1.770594180096,4.783421884416,31.60944697344,[],"Refining, Petrochemicals, Coal Chemicals, New Energy, New Materials"
International Paper,IP,"Construction, Oil & Gas Operations, Mining and Chemicals",United States,39000.0,20.9,23.8,1.8,Consumer Cyclical,46.372093,14.242858,0.86,1.85,0.047199998,0.73020715,1.6516877,0.2795,0.05368,0.01523,0.030030001,0.03584,54.529,-0.104,3.213,72.507,1.669,13.81259776,2.148999936,1.112999936,6.057999872,"['Industrial Packaging', 'Global Cellulose Fibers', 'and Printing Papers']","Renewable Fiber-based Packaging, Pulp, Paper Products, Cellulose Fibers"
Tenaris,TS,Materials,Luxembourg,25292.0,13.5,18.6,3.2,Energy,5.9382534,10.922438,6.64,1.2,0.0306,1.5259863,2.7340176,0.43528,0.23982,0.26351,0.13959,0.25481,12.614,-0.057,3.089,4.215,3.62,22.689677312,4.791216128,3.607451904,0.717870016,[],"Seamless and Welded Tubular Products, Pipeline Services, Sucker Rods, Premium Connections"
Tokyo Gas,9531.T,Oil & Gas Operations,Japan,16858.0,24.3,26.9,2.1,Utilities,6.5970473,13.089566,537.21,75.0,0.0211,0.4889649,0.8540963,0.20927,0.052589998,0.07897,0.057719998,0.14375,6866.479,-0.329,592.179,77.987,1.498,12.8684581322752,5.1343883042816,2.1639981662208,12.0642071560192,"['City Gas', 'Electric Power', 'Overseas Business', 'Energy-related', 'Real Estate', 'and Others']","City Gas, Power Generation, Energy Services, Real Estate, Engineering Solutions"
Korea Gas,036460.KS,Oil & Gas Operations,South Korea,4254.0,40.0,49.4,1.2,Utilities,,4.1107535,,,,0.046039596,,0.04935,0.0292,0.01521,0.0232,0.0792,634258.44,-0.265,14728.143,393.11,0.725,1.82313705013248,2.99849591291904,0.96069442076672,31.234611447070723,[],"Natural Gas Import and Distribution, Power Generation, District Energy, Hydrogen, LNG"
Fox,FOX,Media & Advertising,United States,10400.0,14.3,23.1,1.5,Communication Services,16.251463,11.825533,1.71,0.52,0.0189,0.95028937,1.291417,0.32953,0.05881,0.0575,0.06352,0.07567,29.114,-0.081,8.68,89.042,2.293,13.833362432,2.753999872,4.121999872,9.409999872,[],"Cable Network Programming, Television, Digital Media, Sports Programming"
QBE Insurance Group,QBE.AX,Insurance,Australia,12000.0,14.9,43.8,0.7863,Financial Services,13.070895,9.218421,1.34,0.62,0.035099998,1.0232371,2.62988,0.2811,0.10762,0.05288,0.032190003,0.14503,17.197,0.21,4.538,31.016,10.216,26.21942784,2.139000064,6.780000256,3.087000064,[],"General Insurance, Reinsurance, Asset Management, Underwriting and Risk Solutions"
Constellation Energy,CEG,Utilities,United States,13370.0,25.0,46.2,-0.169,Utilities,34.756485,22.125795,5.01,1.41,0.008,2.2129076,5.052519,0.13376,-0.02484,0.06513,0.02086,0.1392,77.146,-0.21,1.206,87.817,1.313,55.141228544,4.144,0.382,9.911000064,"['Merchant Energy', 'Regulated Electric', 'and Regulated Gas']","Carbon-Free Power Generation, Energy Products and Services, Retail Energy Supply"
Tata Motors,TATAMOTORS.BO,Consumer Durables,India,52351.0,40.5,38.8,-0.5121,Consumer Cyclical,19.030571,40.79704,50.7,2.0,0.0021,0.8323512,8.15334,0.43063,0.090270005,0.04577,,,903.391,0.25,152.595,210.024,,45.86554392576,5.851891728384,7.597380337664,16.622359150592,[],"Automotive Manufacturing, Commercial Vehicles, Passenger Vehicles, Mobility Solutions, Electric Vehicles"
Westlake Chemical,WLK,Chemicals,United States,15920.0,15.1,20.8,1.9,Basic Materials,40.648647,16.0,3.7,1.86,0.0123000005,1.5367936,1.882942,0.17684,-0.01946,0.03817,0.03703,0.04918,98.18,-0.143,25.769,52.406,2.369,19.283685376,2.192,3.304,5.640999936,[],"Olefins, Vinyls, Polymers, Building Products, Housing Materials"
Canara Bank,CANBK.BO,Banking,India,86919.0,13.2,163.6,1.3,Financial Services,6.9727893,15.513208,80.85,12.0,0.0218,1.857908,1.1455493,,0.33146,0.26638,0.010319999,0.17578,303.438,0.303,365.165,,,13.29530568704,,8.61305143296,11.503283011584,"['Treasury Operations', 'Retail Banking Operations', 'Wholesale Banking Operations', 'Life Insurance Operation', 'and Other Banking Operations']","Retail Banking, Corporate Banking, Priority Sector Banking, Treasury, Digital Banking"
WW Grainger,GWW,Trading Companies,United States,26000.0,15.7,7.8,1.7,Industrials,28.377897,23.965319,36.28,7.44,0.0073,3.069856,16.30015,0.39422,0.15036,0.111,0.20726,0.61626,330.22,0.051,13.422,80.442,2.88,50.585088,2.823000064,0.66,2.768,['United States and Canada'],"Industrial Supplies and Equipment, Safety and Security, Inventory Management Solutions"
HD HYUNDAI,012630.KS,"Construction, Oil & Gas Operations, Mining and Chemicals",South Korea,12800.0,50.2,51.9,0.9647,Real Estate,,,,300.0,0.0363,0.07640799,,0.11833,0.06861,0.01439,0.01635,0.03633,104613.23,0.251,21312.328,74.406,1.68,0.32803610427392,0.31690684891136,0.83928131043328,2.78445735018496,[],"Heavy Industries, Construction Equipment, Green Energy, Robotics, Digital Solutions"
Huishang Bank,3698.HK,Banking,China,11190.0,10.2,227.4,2.0,Financial Services,2.214953,1.8230768,1.07,0.14,0.0589,1.0481313,0.28067264,,0.67326,0.45393002,0.00896,0.11923,2.261,0.143,16.315,,,4.83906726912,,33.311333400576,57.824365412352,"['Corporate Banking', 'Retail Banking', 'Treasury', 'and Others']","Corporate Banking, Retail Banking, Treasury Operations, Asset Management, Fintech"
Coterra Energy ,CTRA,Oil & Gas Operations,United States,981.0,9.1,20.1,4.1,Energy,12.863849,9.163879,2.13,0.84,0.031,3.6243153,1.5781592,0.72959,0.3524,0.28589,0.06637,0.12638,7.519,-0.302,1.272,19.361,1.214,20.60060672,3.795000064,0.956,2.526000128,[],"Natural Gas and Oil Exploration, Production, Midstream Services, Carbon Capture"
Fubon Financial,2881.TW,Insurance,Taiwan,42560.0,9.8,349.1,0.471,Financial Services,14.729165,10.231548,4.8,1.43,0.0202,1.3106017,1.1700261,0.38132998,0.47011003,0.09403,0.010089999,0.09357,53.945,0.133,158.033,73.303,2.117,29.445133959168,5.754898087936,65.81760557056,19.155189235712,[],"Banking, Insurance, Securities, Asset Management, Digital Financial Services"
AirBnB,ABNB,IT Software & Services,United States,6811.0,8.4,16.0,1.9,Consumer Cyclical,23.19724,33.907257,7.25,,,10.817398,13.141115,0.82827,-0.22362,0.48321,0.05173,0.69829005,15.568,0.166,15.789,28.218,1.659,107.276132352,1.548999936,10.071000064,2.304,[],"Travel Accommodation Marketplace, Experiences, Homes, Digital Travel Platforms"
AerCap Holdings,AER,Business Services & Supplies,Ireland,641.0,6.9,69.7,1.7,Industrials,6.2561684,7.8946886,13.78,,,2.3046463,1.0286239,0.57265,0.53132,0.41402,0.03434,0.19203,33.783,0.054,8.881,281.251,1.624,17.456920576,4.085347072,1.757794944,46.656827392,[],"Aircraft Leasing, Aviation Asset Management, Cargo Aircraft Solutions, Engines Leasing"
Simon Property Group,SPG,Business Services & Supplies,United States,3300.0,5.3,33.3,2.2,Real Estate,22.32235,25.211975,6.98,7.8,0.0502,10.320075,17.030275,0.81827,0.51861,0.40346,0.05214,0.6968,17.316,0.091,3.587,719.121,0.373,58.399612928,4.10648704,1.168990976,26.518284288,[],"Shopping Malls, Outlet Centers, Properties, Investment Properties, Digital Retail Solutions"
Renault,RNO.PA,Automotive (Automotive and Suppliers),France,105812.0,48.8,126.3,-0.3552,Consumer Cyclical,3.9687774,3.370052,11.37,1.85,0.041500002,0.2501734,0.4115855,0.20805,0.07882,0.04197,0.020869998,0.07675,193.263,0.011,78.038,217.076,1.108,14.15132798976,6.14736027648,22.87115993088,71.81891813376,[],"Automotive Manufacturing, Electric Vehicles, Mobility Services, Commercial Vehicles"
Equinix,EQIX,Business Services & Supplies,United States,12097.0,7.5,31.3,0.8157000000000001,Real Estate,78.723564,60.979713,10.31,17.04,0.0207,9.903748,6.1400895,0.45481,0.11165,0.12498,0.02014,0.08068,82.834,0.154,22.148,139.49,1.128,76.798517248,2.865906944,2.095712,17.455112192,"['Americas', 'Europe', 'Middle East & Africa and Asia-Pacific']","Data Centers, Colocation Services, Interconnection Solutions, Digital Edge Services"
Solvay,SOLB.BR,"Construction, Oil & Gas Operations, Mining and Chemicals",Belgium,22000.0,16.6,22.2,1.9,Basic Materials,2.3616815,6.5474253,10.23,1.62,0.0674,0.41565305,2.0013254,0.22941999,0.11103,0.34744,0.03721,-0.00451,57.833,-0.656,6.705,167.841,1.238,2.70420553728,1.9634400000000003,0.75816,2.36736,"['Advanced Formulations', 'Advanced Materials', 'Performance Chemicals', 'and Corporate and Business Services']","Advanced Materials, Chemicals, Solutions, Sustainable Mobility and Resources, Digital Solutions"
LG Electronics,066570.KS,"Semiconductors, Electronics, Electrical Engineering",South Korea,280000.0,63.3,44.2,0.3368,Technology,,6.6420417,,800.0,0.0081,0.20045072,,0.23511,0.01355,0.00846,0.03844,0.05,467156.2,0.057,47451.918,61.765,1.256,12.83147169792,5.143187685376,6.527411122339841,11.030514064424962,[],"Home Appliances, Home Entertainment, Mobile Communications, Vehicle Components, B2B Solutions"
Fidelity National Information (FIS),FIS,Banking and Financial Services,United States,69000.0,14.5,61.1,-16.7,Technology,85.011765,13.633963,0.85,1.92,0.0272,4.241466,2.2064123,0.3743,0.17371,-0.67753,0.01668,0.021760002,16.618,-0.006,0.763,101.267,0.753,41.655435264,3.356999936,0.44,19.341000704,"['Merchant', 'Banking', 'and Capital Markets']","Banking and Payments Technology, Capital Markets Solutions, Merchant Solutions"
UPM-Kymmene,UPM.HE,Materials,Finland,17236.0,12.5,21.8,1.6,Basic Materials,42.0,12.118577,0.73,1.5,0.0504,1.5632613,1.4650929,0.11156999,0.124460004,0.03709,0.026300002,0.032279998,19.613,-0.217,1.187,29.338,1.868,17.6598503424,1.40832,0.68364,3.65364006912,"['UPM Biorefining', 'UPM Energy', 'UPM Raflatac', 'UPM Specialty Papers', 'UPM Communication Papers', 'UPM Plywood and Other operations']","Renewable and Recyclable Materials, Biomaterials, Energy, Biochemicals, Digital Solutions"
NEC,6701.T,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",Japan,118527.0,24.4,29.9,0.8449,Technology,24.747797,19.741224,454.99,120.0,0.0106,0.874022,1.766361,0.29312,0.04952,0.035550002,0.02869,0.07217,12896.47,0.038,1506.234,33.466,1.45,27.336801753497603,3.3638058295296003,3.6522575724544,6.081093015961601,"['Public Business', 'Enterprise Business', 'Telecom Carrier Business', 'System Platform Business', 'and Others']","IT Services, Products, Telecommunications, AI & Data Analytics, Digital Government"
Ameren,AEE,Utilities,United States,9000.0,8.1,38.1,1.1,Utilities,16.392694,14.623219,4.38,2.68,0.0372,2.6317344,1.6847737,0.47722,0.21669,0.15857,0.02942,0.10463,27.645,-0.209,0.094,143.806,0.652,19.119550464,3.140999936,0.025,16.506000384,"['Ameren Missouri', 'Ameren Illinois Electric Distribution', 'Ameren Illinois Natural Gas', 'Ameren Transmission', 'and Other']","Electric and Gas Utilities, Transmission, Renewable Energy Generation, Energy Efficiency Programs"
WTW,WTW,,United Kingdom,40000.0,9.0,31.9,1.1,Financial Services,27.616703,14.822354,9.94,3.52,0.0128,2.9665782,2.95668,0.44796002,0.33116,0.11125,0.0396,0.108100004,90.314,0.071,13.895,61.983,1.064,28.132061184,2.423000064,1.424,5.945999872,"['Human Capital and Benefits (HCB); Corporate Risk and Broking (CRB); Investment', 'Risk and Reinsurance (IRR); and Benefits Delivery and Administration (BDA)']","Risk Management, Insurance Brokerage, Advisory, Software and Analytics Solutions"
EQT,EQT,"Construction, Oil & Gas Operations, Mining and Chemicals",United States,693.0,11.5,22.7,4.5,Energy,8.14218,7.551648,4.22,0.63,0.0186,3.0443096,0.9766081,0.53436,0.66357005,0.34884,0.06566,0.13346,13.059,-0.474,0.184,39.603,0.988,15.14317312,4.268210944,0.080977,5.853689856,[],"Natural Gas Production, Midstream, Carbon Capture, Renewable Energy, Digital Technology"
Korea Electric Power,015760.KS,Utilities,South Korea,,55.1,185.7,-18.9,Utilities,,3.0293572,,,,0.16882405,,-0.01863,0.08482,-0.05467,-0.01196,-0.118999995,137421.19,0.155,11449.448,368.949,0.482,11.31910986203136,5.96125086121984,5.58610182569984,104.49084301180928,[],"Electric Power Generation, Transmission, Distribution, Nuclear and Thermal Power, Renewable Energy"
ThyssenKrupp Group,TKA.DE,Materials,Germany,96494.0,43.2,38.5,1.2,Industrials,,5.0387754,-3.95,0.15,0.0308,0.08376422,0.28521922,0.06237,-0.0198,-0.06706,-0.038429998,-0.18311001,58.951,-0.093,10.648,25.235,1.871,3.31998815232,-1.42667993088,7.15932020736,3.16331993088,"['Components Technology', 'Elevator Technology', 'Industrial Solutions', 'Marine Systems', 'Materials Services', 'Steel Europe', 'and Corporate']","Materials Services, Industrial Components, Automotive Technology, Steel, Multi-Tracks"
YPF ,YPF,Oil & Gas Operations,Argentina,,18.6,25.9,2.2,Energy,27.283785,4.4866667,0.74,,,0.58836746,0.8773684,0.19976,0.08703,-0.07579,0.042329997,-0.22479,44.201,3.033,3.526,97.846,0.901,10.185229312,2.000106752,1.387000064,8.856000512,"['Upstream', 'Gas and Energy', 'Downstream', 'Central Administration and Other']","Upstream Oil and Gas, Downstream Oil and Gas, Petrochemicals, Power Generation, Renewables"
ITC,ITC.BO,"Food, Drink & Tobacco",India,49342.0,8.9,10.1,2.3,Consumer Defensive,25.65469,,16.42,12.5,0.0301,7.449982,7.59803,0.59927,0.33543998,0.29059,,,56.743,0.018,14.976,0.408,,68.36934148096,3.408594468864,2.426956939264,0.036927800832,"['Fast Moving Consumer Goods (FMCG) Cigarettes; FMCG Others; Hotels; Paperboards', 'Paper and Packaging', 'and Agri Business']","FMCG, Hotels, Paperboards, Packaging, Agri-business"
Microchip Technology,MCHP,"Semiconductors, Electronics, Electrical Engineering",United States,22600.0,8.4,16.4,2.2,Technology,20.764019,29.137707,4.28,1.68,0.019,5.6225963,6.782934,0.67028,0.30045,0.27586,0.12292,0.35189,15.7,-0.186,0.52,80.896,0.978,48.024281088,4.076699904,0.281,5.727600128,[],"Microcontrollers, Analog and Interface, Wireless Products and Solutions, Memory Products"
Bank Hapoalim,POLI.TA,Banking and Financial Services,Israel,8562.0,5.2,188.6,1.9,Financial Services,6.1600003,710.2725,5.5,1.05,0.031,2.3230808,86.41314,,0.5828,0.37737998,0.01089,0.14879,14.586,-0.053,116.203,,,12.685972275200005,,43.51031967744001,14.80584003584,"['Households', 'Private Banking', 'Small Business', 'Commercial', 'Corporate', 'Financial Management', 'and Others']","Retail Banking, Corporate Banking, Investment Banking, Asset Management, Digital Banking"
Targa Resources,TRGP,Oil & Gas Operations,United States,2850.0,20.0,19.0,1.1,Energy,30.247957,15.269602,3.67,2.0,0.0183,1.5424641,9.02007,0.33523,0.14985,0.0838,0.081599995,0.32929,71.506,-0.069,0.635,282.694,0.795,24.772438016,3.961700096,0.1417,13.032200192,"['Gathering and Processing', 'and Logistics and Transportation']","Natural Gas Gathering and Processing, Crude Oil and NGL Logistics, NGL and LPG Marketing"
HCL Technologies,HCLTECH.BO,Professional Services,India,223400.0,12.6,11.4,1.8,Technology,27.582457,,57.91,52.0,0.0328,330.9105,533.1442,0.36245,0.19766001,0.14509,0.1312,0.23944001,4.829,0.053,1.021,7.962,2.58,4326.654738432,2.699000064,2.764,0.646,['Software Services; Information Technology (IT) Services; and Business Process Outsourcing Services'],"IT Services, Digital Services, Software, Engineering and R&D Services, Digital Workplace"
VICI Properties,VICI,Diversified Financials,United States,23.0,3.1,41.9,1.4,Real Estate,11.817814,10.851301,2.47,1.66,0.057600003,8.427069,1.2051028,0.99028,1.0164399,0.69564,0.05111,0.10656,3.562,0.177,0.503,68.75,23.839,30.449256448,3.34240896,0.524136992,17.639739392,['Real Property Business and Golf Course Business'],"Gaming, Hospitality, Entertainment, Golf Course Properties, Gaming Real Estate"
PulteGroup,PHM,Banking and Financial Services,United States,6182.0,16.6,14.8,2.7,Consumer Cyclical,9.90273,9.024883,11.72,0.8,0.0069999998,1.5327085,2.375893,0.29497,0.2236,0.16202,0.13867,0.26971,73.021,-0.155,8.536,25.735,6.834,24.61771776,3.506917888,1.810509056,2.672164096,[],"Homebuilding, Financial Services, Rental Operations, Digital Real Estate Solutions"
Sodexo,SW.PA,Business Services & Supplies,France,422000.0,23.9,21.8,0.8319,Industrials,20.694736,13.820738,3.8,3.1,0.0397,0.5097304,2.53424,0.12016,0.0394,0.03508,0.026730001,0.12652001,154.913,,13.835,141.063,1.162,12.46186930176,1.26900006912,2.1869999308800003,6.93792,[],"Food Services, Facilities Management, Employee Benefit Solutions, Personal & Home Services"
WPP,WPP.L,Media & Advertising,United Kingdom,115473.0,17.8,35.0,0.8409,Communication Services,72.82,7.5547256,0.1,0.39,0.0561,0.52725434,231.83699,0.16969,0.0295,0.0074400003,0.01197,0.04934,13.846,-0.006,2.063,179.398,0.864,9.70546198528,0.99038803968,2.74969988096,8.52599207936,['Global Integrated Agencies; Public Relations; and Specialist Agencies'],"Advertising, Media Investment, Data Investment, PR and Public Affairs, Digital Experience Design"
Builders FirstSource,BLDR,Retailing,United States,29000.0,20.9,10.5,2.4,Industrials,17.681742,14.420764,11.94,,,1.5057306,5.436333,0.35165,0.118149996,0.09011,0.12896,0.31781,133.806,-0.047,0.543,78.468,1.771,25.743972352,2.734594048,0.066156,3.71335808,"['Northeast', 'Southeast', 'South', 'and West']","Building Materials, Windows, Doors, Millwork, Construction Services, Digital Supply Chain"
Santos,STO.AX,Oil & Gas Operations,Australia,3550.0,7.9,30.3,2.1,Energy,11.272727,12.4,0.66,0.4,0.053600002,4.103143,1.5776081,0.37730998,0.28542,0.24045,0.037920002,0.09403,1.806,-0.274,0.657,40.321,1.475,24.16340992,3.579000064,2.127000064,6.159000064,"['Cooper Basin; Queensland and NSW; Papua New Guinea; Northern Australia; Western Australia; Asia; and Corporate', 'Exploration', 'Eliminations', 'and Other']","Oil and Gas Exploration and Production, LNG, Fuels, Renewable Energy, Carbon Capture and Storage"
Pembina Pipeline,PPL,Oil & Gas Operations,Canada,2669.0,8.9,23.2,2.3,Utilities,27.0,14.835164,1.0,1.03,0.0381,2.3959672,1.4284202,0.40989,0.2324,0.08903,0.02921,0.05314,11.278,-0.113,0.449,113.106,0.878,19.915280384,3.136,0.331,15.758999552,[],"Pipeline Transportation, Gas Processing, LNG Facilities, Petrochemicals, Renewable Energy"
Albemarle,ALB,"Construction, Chemicals, Raw Materials",United States,2600.0,8.8,17.6,3.7,Basic Materials,9.338819,12.965732,13.37,1.6,0.0128999995,1.5256306,1.556819,0.124460004,-0.3765,0.16361,0.01731,0.18711,81.976,-0.101,7.58,44.604,1.465,14.672299008,0.897067008,0.889900032,4.3110272,"['Lithium', 'Bromine Specialties', 'and Catalysts']","Lithium, Bromine Specialties, Catalysts, Energy Storage, Lithium Recycling and Digital Solutions"
Baker Hughes Company,BKR,"Construction, Oil & Gas Operations, Mining and Chemicals",United States,55000.0,22.0,35.0,-0.098,Energy,17.675392,13.343873,1.91,0.84,0.0251,1.33404,2.19235,0.20725,0.11529,0.07618,0.0465,0.13114001,25.304,0.157,2.644,43.746,1.255,34.026027008,3.732999936,2.646000128,6.789000192,"['Oilfield Services (OFS)', 'Oilfield Equipment (OFE)', 'Turbomachinery & Process Solutions (TPS) and Digital Solutions (DS)']","Oilfield Services, Equipment, Turbines and Compressors, Digital and Industrial Solutions"
CIMB Group Holdings,1023.HK,Banking,Malaysia,32696.0,6.3,151.4,1.2,Consumer Cyclical,3.5625,,0.16,0.04,0.070199996,0.3265577,0.3069467,0.34263,0.07197,0.08916,0.048800003,0.08446,1.747,-0.149,0.458,2.793,3.511,0.07153836352,0.0258466,0.05738616,0.00650468,"['Consumer Banking; Commercial Banking; Wholesale Banking; and Ventures', 'Partnerships & Funding (GVPF)']","Consumer Banking, Commercial Banking, Investment Banking, Islamic Banking, Digital Finance"
Otsuka Holding,4578.T,Drugs & Biotechnology,Japan,33482.0,13.2,23.5,1.0,Healthcare,28.852327,14.872102,224.28,120.0,0.0187,1.739709,1.4670788,0.6972,0.09077,0.06025,0.056399997,0.05342,3719.585,0.143,945.926,8.791,1.989,31.956662301491203,3.5068332802048,4.6714030784512,1.9491016982528,"['Pharmaceuticals', 'Nutraceuticals', 'Consumer Products', 'and Others']","Pharmaceuticals, Nutraceuticals, Consumer Products, Chemical Products, Digital Healthcare Solutions"
Zoetis,ZTS,Drugs & Biotechnology,United States,13800.0,8.1,13.8,2.1,Healthcare,33.13386,25.97531,5.08,1.73,0.0101,9.020152,15.439369,0.70061,0.32174,0.27434,0.13146,0.49819002,18.527,0.085,4.458,137.007,3.358,77.068181504,3.488,2.040999936,6.838000128,['United States &International'],"Animal Health Medicines and Vaccines, Diagnostics, Digital Animal Care Solutions"
HF Sinclair,DINO,Oil & Gas Operations,United States,5223.0,38.3,18.0,3.1,Energy,7.4318457,10.372054,8.29,1.85,0.0301,0.38273132,1.211698,0.1086,-0.00642,0.04973,0.07819,0.16894,168.203,-0.147,6.818,31.436,2.215,12.233775104,2.773839104,1.353746944,3.218236928,"['Refining; Lubricants and Specialty Products; and Holly Energy Partners', 'LP (HEP)']","Petroleum Refining, Renewable Energy, Chemicals, Commercial and Retail Operations"
Suzano ,SUZB3.SA,Materials,Brazil,42000.0,10.0,26.7,3.6,Basic Materials,5.7179723,9.894737,10.85,4.65,0.075,2.0029008,1.7898048,0.36923,0.25812,0.35429,0.04863,0.36181,30.647,-0.278,16.419,186.155,2.607,14.33276596224,3.19810940928,3.8105561088,15.014965248,[]," Paper and Pulp, Renewable Energy, Forestry, Bioproducts, Sustainable Construction Materials "
Mitsui OSK Lines,9104.T,Transportation,Japan,8571.0,11.9,26.8,5.9,Industrials,6.169973,9.247498,762.24,180.0,0.038599998,1.1076249,0.74748725,0.14603,0.07321,0.17576,0.01805,0.13163,4346.809,-0.018,383.123,53.334,0.868,15.851648620953602,1.8962283511808,1.2621517848576,11.1243220221952,"['Dry Bulk', 'Energy Transport', 'Product Transport', 'Associated Businesses and Others']"," Shipping, Logistics, Energy Transportation, Offshore Support Vessels, LNG Terminals "
Realty Income,O,Diversified Financials,United States,395.0,3.5,51.1,0.8951,Real Estate,41.658733,34.76159,1.26,3.08,0.0588,11.074352,1.199004,0.92234004,0.44757,0.21372,0.02007,0.02831,5.896,0.214,0.27,66.781,1.26,45.200400384,3.620038912,0.232923008,22.109315072,[]," Commercial Real Estate, Retail Properties, Industrial Properties, Healthcare Facilities, Data Centers "
Apollo Global Management,APO,Diversified Financials,United States,2540.0,6.9,259.3,-3.3,Financial Services,13.832126,12.613436,8.28,1.72,0.0153,2.0370486,5.1421,0.27817,0.22483999,0.158,0.022809999,0.32029998,54.945,1.286,45.619,94.633,1.759,65.071480832,,25.919000576,23.889999872,"['Credit', 'Private Equity', 'and Real Assets']"," Private Equity, Credit, Real Estate, Insurance, Digital Asset Management "
Labcorp,LH,Health Care Equipment & Services,United States,75500.0,14.8,20.2,1.0,Healthcare,48.796764,13.164486,4.33,2.88,0.0138,1.4611144,2.2510707,0.27668,0.072,0.03437,0.037720002,0.04225,139.628,0.035,6.383,75.46,1.167,17.769488384,1.618599936,0.5368,5.954200064,['LabCorp Diagnostics and Covance Drug Development']," Clinical Laboratory Testing, Drug Development, Diagnostic Services, Life Sciences, Precision Medicine "
Unum Group,UNM,Insurance,United States,9515.0,12.0,50.9,1.4,Financial Services,8.109231,5.9694223,6.5,1.46,0.0276,0.8150327,1.0560799,0.33179,0.15195,0.103649996,0.01844,0.13965,62.981,0.047,9.173,37.394,18.445,10.094913536,1.943699968,1.756700032,3.608999936,['Unum U']," Disability Insurance, Life Insurance, Employee Benefits, Voluntary Benefits, Absence Management "
Public Storage,PSA,Business Services & Supplies,United States,5900.0,4.3,17.5,4.4,Real Estate,25.484627,25.60036,11.06,12.0,0.0425,10.924337,8.743369,0.74421,0.49,0.47262,0.07803,0.2131,25.905,0.064,2.106,90.07,0.284,49.65752832,3.30225792,0.370001984,9.103277056,"['Self-storage Operations', 'Ancillary Operations', 'Investment in PS Business Parks and Investment in Shurgard']"," Self-Storage, Moving and Transportation Services, Portable Storage, Records Management, Commercial Real Estate "
Country Garden Holdings,2007.HK,Construction,China,69932.0,63.4,250.9,-0.8605,Real Estate,,-1.0,-2.26,,,0.030575097,0.0952549,-0.017380001,-0.15628,-0.11247,-0.01165,-0.20212,19.121,0.394,4.122,101.627,1.204,2.221727198208,-4.562145122304,16.576749084672,38.00052867072,['Property Development; Construction; Property Investment; Property Management; and Hotel Operation']," Residential Property Development, Commercial Property Development, Hotel Operations, Property Management, Modern Agriculture "
CDW,CDW,IT Software & Services,United States,12250.0,22.9,12.8,1.1,Technology,31.458023,22.15739,8.1,2.48,0.0099,1.5998936,16.729696,0.21765,0.10216,0.051659998,0.08322,0.60578996,158.811,-0.077,4.386,307.163,1.232,34.199324672,2.029299968,0.588700032,6.273800192,"['Corporate', 'Small Business', 'and Public']"," IT Solutions, Cloud Services, Cybersecurity, Data Center Solutions, Managed Services "
Huatai Securities,601688.SS,Diversified Financials,China,14372.0,5.2,126.9,1.7,Financial Services,10.783582,9.569536,1.34,0.45,0.0311,3.305091,0.98085797,0.84573,0.32724,0.35142,0.01513,0.077810004,4.03,0.391,54.187,212.045,1.452,17.719171104768,,81.309869211648,54.601833086976,[]," Securities Brokerage, Investment Banking, Asset Management, Wealth Management, FinTech Solutions "
CenterPoint Energy,CNP,Utilities,United States,8986.0,9.3,37.8,0.851,Utilities,20.430656,16.086206,1.37,0.8,0.028499998,2.0377626,1.82762,0.42813,0.14345,0.105450004,0.0277,0.09305,13.782,-0.195,1.048,192.728,0.783,17.720385536,2.972,0.662,18.631000064,['Houston Electric Transmission & Distribution (T&D); Indiana Electric Integrated; Natural Gas Distribution; Energy Services; Infrastructure Services; Midstream Investments; and Corporate and Other']," Electric Utility, Natural Gas Distribution, Energy Services, Renewable Energy, Midstream Operations "
Grupo ACS,ACS.MC,"Construction, Oil & Gas Operations, Mining and Chemicals",Spain,128721.0,35.3,39.8,0.7022999999999999,Industrials,15.793775,21.36316,2.57,2.42,0.06,0.29349616,1.984841,0.31577998,-0.022060001,0.02183,0.012920001,0.15461001,137.289,0.028,39.335,187.905,1.204,11.3284528128,1.22110958592,11.07095924736,11.42652690432,"['Construction', 'Industrial Services', 'Services', 'and Corporate Unit']"," Construction, Concessions, Services, Industrial Services, Renewable Energy "
United Microelectronics,2303.TW,Semiconductors,Taiwan,,8.9,18.1,2.7,Technology,9.569119,10.745968,5.57,3.6,0.067600004,3.000884,1.8590862,0.34936002,0.22511,0.27407,0.06595,0.1768,17.988,-0.19,11.563,22.294,2.19,21.369462980608,3.06154962944,4.636213248,2.565308153856,[]," Semiconductor Foundry, Specialty Technologies, Advanced Packaging, Automotive Electronics, IoT Solutions "
