ID;Label;Definition
971;Exploration and Production; Activities related to the discovery and extraction of natural resources.
972;Construction; Building and infrastructure development services.
973;New Steel and Industrial Solutions; Innovative approaches to steel production and industrial applications.
974;New Automotive Solutions; Advanced technologies and products for the automotive industry.
975;New Connectivity Services; Modern services for enhancing digital connectivity.
976;New Rail Technologies; Cutting-edge technologies for rail transportation.
977;Cloud; Internet-based computing services and storage.
978;Systems; Integrated technologies for various applications.
979;Electric Transmission; Technologies for transmitting electrical power.
980;Consumer Services; Services designed to meet the needs of individual consumers.
981;New Data and Analytics Offerings; Advanced tools for data analysis and insights.
982;Building Renovation; Services for updating and improving buildings.
983;New Construction Solutions; Innovative technologies and methods for construction.
984;RIA Custodial Services; Custodial services for registered investment advisors.
985;New Wealth Management Solutions; Modern approaches to managing wealth.
986;Skin Care and Hair Care; Products and services for skin and hair health.
987;Salvage Services; Recovery of usable materials from damaged or discarded items.
988;New Power Solutions; Advanced technologies for generating and managing power.
989;Consumer Packaged Goods; Products packaged for retail sale to consumers.
990;New Hospitality Concepts; Innovative approaches to the hospitality industry.
991;Computational Software; Software for performing complex calculations and data analysis.
992;New Design Solutions; Advanced tools and methods for product design.
993;New Drug R&D Services; Innovative services for drug research and development.
994;Retail and Consumer Services; Comprehensive services for retail and consumer markets.
995;New Business Development; Strategies and initiatives for developing new business opportunities.
996;Renewable Integration; Technologies for integrating renewable energy sources into the grid.
997;New Energy Technology; Advanced technologies for energy production and management.
998;Steel Processing; Techniques for processing steel into usable products.
999;Asphalt and Paving; Production and application of asphalt for roads and surfaces.
1000;New Construction Materials; Innovative materials for building and construction.
1001;Therapeutic Solutions; Advanced treatments and therapies for medical conditions.
1002;New Healthcare Technologies; Cutting-edge technologies for healthcare applications.
1003;New Convergence Services; Integrated services combining multiple technologies.
1004;Crypto Investing Products; Financial products for investing in cryptocurrencies.
1005;New Crypto Solutions; Advanced technologies for cryptocurrency applications.
1006;Recyclables; Materials that can be recycled for reuse.
1007;New Sustainable Materials; Environmentally friendly materials for various applications.
1008;Services; Professional services across various industries.
1009;E-Commerce; Online platforms for buying and selling goods and services.
1010;New Food and Beverage Offerings; Innovative products in the food and beverage industry.
1011;New Retirement Solutions; Modern approaches to retirement planning and services.
1012;New Digital Infrastructure; Advanced technologies for building and managing digital networks.
1013;Sports Timing; Technologies for accurately timing and measuring sports events.
1014;Risk Solutions; Comprehensive services for identifying and managing risks.
1015;New Risk Management Services; Innovative approaches to risk assessment and mitigation.
1016;Airport IT Solutions; Technologies for managing airport operations and services.
1017;New Travel Tech Offerings; Advanced technologies for enhancing travel experiences.
1018;Advertising and Media; Services for promoting and distributing media content.
1019;New Travel Platforms; Modern online platforms for booking and managing travel.
1020;Snacks; Production and sale of snack foods.
1021;New Digital Information Products; Innovative digital products for managing and disseminating information.
1022;Fixed Income; Financial products that provide regular income, such as bonds.
1023;New Trade Services; Modern services for facilitating international trade.
1024;Auto and Lease Financing; Financial products for purchasing and leasing vehicles.
1025;Animal Health Products; Products for maintaining and improving animal health.
1026;New Biomedical Solutions; Advanced technologies for medical and biological applications.
1027;Consumer Electronics; Devices and gadgets for personal and home use.
1028;Voice and Collaboration; Technologies for voice communication and collaboration.
1029;New Network Solutions; Modern technologies for enhancing network performance.
1030;Modular Solutions; Prefabricated components for various applications.
1031;Automotive Logistics; Services for managing the transportation of automotive products.
1032;Private Asset Solutions; Financial products and services for managing private assets.
1033;New Data and Technology Products; Innovative data management and technology solutions.
1034;Population and Data Solutions; Technologies for managing population data and analytics.
1035;New Material Solutions; Advanced materials for industrial and consumer applications.
1036;Adjacent Ventures; New business ventures in related industries.
1037;New Beverage Offerings; Innovative drinks and beverages.
1038;Parts and Services; Components and services for maintaining and repairing products.
1039;New AgTech Solutions; Advanced technologies for agricultural production.
1040;Securities; Financial instruments representing ownership or debt.
1041;Media and Entertainment Solutions; Comprehensive services for the media and entertainment industry.
1042;Chlor-Alkali Chemicals; Production of chemicals like chlorine and sodium hydroxide.
1043;New Chemical Products; Innovative chemical substances for various applications.
1044;New Energy Services; Modern services for managing and optimizing energy use.
1045;Residential Services; Comprehensive services for residential properties.
1046;New Maritime Solutions; Advanced technologies for the maritime industry.
1047;Global Payments; International payment services and solutions.
1048;New Fintech Solutions; Innovative financial technologies for various applications.
1049;Digital Capabilities; Advanced digital tools and services for businesses.
1050;Convergence Software; Software that integrates multiple functions and services.
1051;Craniomaxillofacial and Thoracic; Medical solutions for cranial, maxillofacial, and thoracic conditions.
1052;New Medical Solutions; Advanced healthcare products and services.
1053;HSA Bank; Health savings account services.
1054;Out-of-Hospital Software; Technologies for managing healthcare outside of traditional hospital settings.
1055;New Digital Health Offerings; Innovative digital products and services for healthcare.
1056;Private Infrastructure; Investments and services for private infrastructure projects.
1057;New Material Innovations; Research and development of new materials.
1058;New Financial Wellness Offerings; Modern approaches to financial health and wellness.
1059;Cleaning and Hygiene; Products and services for maintaining cleanliness and hygiene.
1060;New Supply Solutions; Advanced logistics and supply chain services.
1061;New Insurance Products; Innovative insurance offerings for various needs.
1062;Food Retail Solutions; Technologies and services for the food retail industry.
1063;Video Games; Development and distribution of video games.
1064;Publishing and Live Entertainment; Services for publishing content and producing live events.
1065;New Fiber-Based Solutions; Advanced materials derived from fibers.
1066;Precision Machinery; High-accuracy machinery for industrial applications.
1067;Environmental Protection Equipment; Technologies for protecting the environment.
1068;Live Audio; Technologies for live audio production and broadcasting.
1069;New Audio Experiences; Innovative products and services for audio.
1070;New Energy Materials; Advanced materials for energy production and storage.
1071;New Online Gaming Offerings; Modern online gaming platforms and services.
1072;Medicare Supplements; Additional insurance products for Medicare recipients.
1073;Merchant Banking; Financial services for businesses, including lending and investment.
1074;New Entertainment Offerings; Innovative products and services in the entertainment sector.
1075;Packaged Logistics Solutions; Comprehensive logistics services for packaged goods.
1076;New Logistics Services; Modern logistics and supply chain services.
1077;IP Creation; Development and protection of intellectual property.
1078;New Entertainment Solutions; Advanced technologies for the entertainment industry.
1079;Employee Experience; Services and technologies to enhance employee satisfaction and productivity.
1080;New Digital Workflows; Modern digital tools for managing business processes.
1081;Calcium Products; Production and distribution of calcium-based products.
1082;NRI Services; Services for non-resident Indians, including financial and real estate.
1083;Power and Gas; Technologies for managing power and gas distribution.
1084;Professional and Support Services; Comprehensive services for businesses, including consulting and support.
1085;New Data Solutions; Advanced data management and analytics products.
1086;Individual Life; Life insurance products for individuals.
1087;New Financial Wellness Solutions; Modern approaches to personal financial health.
1088;New Technology Platforms; Advanced platforms for various technological applications.
1089;Mineral Resources Development; Exploration and development of mineral resources.
1090;Reinhart Foodservice; Distribution of food products and supplies.
1091;New Food Solutions; Innovative approaches to food production and distribution.
1092;Packaging Equipment; Machinery for packaging goods.
1093;New Packaging Solutions; Advanced technologies for product packaging.
1094;United Surgical Partners International; Healthcare services and surgical facilities.
1095;New Healthcare Services; Modernized healthcare products and services.
1096;New E-Commerce Solutions; Advanced platforms for online retail.
1097;Processed Foods; Production and sale of pre-packaged food products.
1098;New Food and Bio Solutions; Innovative approaches to food and biotechnology.
1099;Ophthalmic Diagnostics; Technologies for diagnosing eye conditions.
1100;New Veterinary Solutions; Advanced products and services for animal health.
1101;System Integration; Technologies and services for integrating various systems.
1102;CT REIT; Real estate investment trust focused on commercial properties.
1103;New Services and Products; Innovative offerings in various industries.
1104;Peer Networking; Platforms and services for professional networking.
1105;New Sustainable Solutions; Environmentally friendly products and practices.
1106;Information Services; Technologies for managing and disseminating information.
1107;New Exchange Offerings; Modern financial exchange platforms.
1108;New Entertainment Experiences; Innovative approaches to entertainment.
1109;Bioengineering Products; Advanced products for biological and medical applications.
1110;New Bioscience Solutions; Innovative technologies for biological sciences.
1111;Insurance Services; Comprehensive insurance products and services.
1112;Geographic Information Services; Technologies for managing and analyzing geographic data.
1113;New Marine Solutions; Advanced technologies for maritime applications.
1114;New Transportation Solutions; Modern approaches to transportation and logistics.
1115;New Real Estate Solutions; Innovative products and services for the real estate market.
1116;New Metals and Materials; Advanced materials for industrial applications.
1117;Uncoated Fine Paper; Production of high-quality uncoated paper products.
1118;New Steel Offerings; Innovative steel products and solutions.
1119;New Insurance Solutions; Modern insurance products for various needs.
1120;New Business Incubation; Support and development services for startups.
1121;New Digital Financial Services; Advanced financial services delivered digitally.
1122;Commercial and Industrial Panels; Production of panels for commercial and industrial use.
1123;New Display Technologies; Advanced technologies for electronic displays.
1124;Shipping Transportation; Services for transporting goods by sea.
1125;New Cable Solutions; Modern cable technologies for various applications.
1126;Technology; Comprehensive services and products in the tech industry.
1127;New Steel Products; Innovative approaches to steel manufacturing.
1128;New Renewable Solutions; Advanced technologies for renewable energy.
1129;New Software Solutions; Modern software applications for various needs.
1130;New Battery Materials; Advanced materials for battery production.
1131;New Agri-Food Solutions; Innovative technologies for agriculture and food production.
1132;New Diversified Solutions; Comprehensive solutions across multiple industries.
1133;Promotions and Events; Services for managing and promoting events.
1134;New Marketing Platforms; Modern tools for marketing and advertising.
1135;Supporting Infrastructure; Services and technologies for infrastructure development.
1136;New Energy Initiatives; Innovative projects in the energy sector.
1137;Payment Systems; Technologies for managing financial transactions.
1138;New Financial Infrastructure; Advanced infrastructure for financial services.
1139;Maritime Services ; Comprehensive services for the shipping and maritime industries.
1140;Trading and Brokerage; Financial services for trading and investment.
1141;Trust Banking; Banking services that include managing trusts and estates.
