company_name,Ticker1,description,Industry,Country/Territory,Employees,Revenue,Assets,Profits,Nombre del archivo,Sector,Symbol,Short Name,Long Name,Financial Currency,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Range of Price Targets
Samsung SDI,006400.KS,"Samsung SDI Co., Ltd. engages in the manufacture and sale of secondary cells and plasma display panels. It operates in two business segments: Display segment and Energy segment. The Display segment is engaged in the manufacture of PDPs used in televisions, as well as operation of rental business. The Energy segment is engaged in the manufacture of batteries. The company was founded on January 20, 1970 and is headquartered in Yongin, South Korea.",Capital Goods,South Korea,"11,315",$16.4B,$23.9B,$1.6B,006400.KS.json,Technology,006400.KS,"SAMSUNG SDI CO.,LTD.","Samsung SDI Co., Ltd.",KRW,30700294111232,N/A,13.039369,N/A,1000.0,0.0022,1703635200,1.3519416,N/A,0.17535,0.05603,0.088479996,0.03175,0.1113,N/A,339575.38,-0.067,3361340653568,2126559838208,31800.15,5798852820992,29.129,1.078,"(310000.0, 928000.0)"
Coal India,COALINDIA.BO,"Coal India Ltd. is a holding company, which engages in the production and sale of coal. Its products and services include coking coal, semi coking coal, non-coking coal, washed and beneficiated coal, middlings, rejects, coal fines and coke fines, tar, heavy oil, light oil, and soft pitch. The company was founded in June 14, 1973 and is headquartered in Kolkata, India.",Materials,India,"248,550",$16.9B,$24B,$3.7B,COALINDIA.BO.json,Energy,COALINDIA.BO,COAL INDIA LTD.,Coal India Limited,INR,2662941589504,9.059354,N/A,47.68,29.75,0.0709,1708387200,1.8773253,3.8212814,0.82704,0.30634,0.20708,N/A,N/A,N/A,230.17,0.018,368530030592,422810812416,68.625,63130599424,8.954,N/A,"('N/A', 'N/A')"
Tata Steel,TATASTEEL.BO,"Tata Steel Ltd. is a holding company, which engages in the manufacture of iron and steel products. It operates through the following segments: Agriculture, Automotive Steels, Construction, Consumer Goods, Energy and Power, Engineering and Material Handling. Its products include Automotive Steels, Galvano, Tata Agrico, Astrum, Bearings, Pipes, Precision Tubes, Shaktee, Steelium, Tiscon and Wiron. The company was founded by Jamsetji Nusserwanji Tata on August 26, 1907 and is headquartered in Mumbai, India.",Materials,India,"73,962",$30.3B,$35B,$1.1B,TATASTEEL.BO.json,Basic Materials,TATASTEEL.BO,TATA STEEL LTD.,Tata Steel Limited,INR,1873149165568,N/A,1.8454065,-2.74,3.6,0.0247,1687392000,0.8023942,2.055902,0.52437997,0.06945,-0.01432,N/A,N/A,N/A,190.977,-0.031,201415868416,125901398016,10.3,897229520896,98.811,N/A,"(360.0, 980.0)"
Asahi Group Holdings,2502.T,"Asahi Group Holdings Ltd. engages in the manufacture and sale of food and beverages. It operates through the following segments: Alcoholic Beverages, Soft Drinks, Food, Overseas, and Others. The Alcoholic Beverages segment includes beer-type beverages, shochu (Japanese distilled beverage), RTD (Ready-to-Drink) low-alcohol beverages, whisky and spirits, wine, and others. The Soft Drinks segment offers chilled beverages through developing products such as tea-based drinks, coffee, carbonated soft drinks, water, fruit and vegetable drinks, and lactic acid drinks. The Food segment provides confectioneries, pharmaceuticals, supplements, baby products, freeze-dried foods, seasonings and retort-pouch foods. The Overseas segment offers food and beverage in other countries. The Others segment involves logistics and other businesses. The company was founded on September 1, 1949 and is headquartered in Tokyo, Japan. Read Less","Food, Drink & Tobacco",Japan,"29,920",$19.1B,$36.6B,$1.2B,2502.T.json,Consumer Defensive,2502.T,ASAHI GROUP HLDGS,"Asahi Group Holdings, Ltd.",JPY,2775081025536,16.31322,13.367665,335.74,132.0,0.024,1719446400,1.0021632,1.1278329,0.36074,0.07453,0.05925,0.030269999,0.07332,N/A,5465.158,0.128,392993013760,70414000128,138.971,1410798059520,57.215,0.606,"(6300.0, 7900.0)"
Riyad Bank,1010.SE,"Riyad Bank engages in the provision of banking and investment services. It operates through the following segments: Retail Banking, Investment Banking and Brokerage, Corporate Banking, and Treasury and Investments. The Retail Banking segment focuses on the deposit, credit, and investment products for individuals and small to medium sized businesses. The Investment Banking and Brokerage segment involves in investment management services and asset management activities related to dealing, managing, arranging, advising, and custody of securities. The Corporate Banking segment handles customers' current accounts, deposits, and providing loans, overdrafts, credit facilities, and derivative. The Treasury and Investments segment offers money market trading and treasury services. The company was founded on November 23, 1957 and is headquartered in Riyadh, Saudi Arabia. Read Less",Banking,Saudi Arabia,"6,794",$4.9B,$380.6B,$2B,1010.SE.json,N/A,1010.SE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"('N/A', 'N/A')"
MGM Resorts,MGM,"MGM Resorts International is a holding company, which engages in the ownership and operations of casino resorts. The firm's casino resorts offer gaming, hotel, convention, dining, entertainment, retail, and other resort amenities. It operates through the following business segments: Las Vegas Strip Resorts, Regional Operations and MGM China. The Las Vegas Strip Resorts segment consists of the following casino resorts: Bellagio, MGM Grand Las Vegas, Mandalay Bay, The Mirage, Luxor, New York-New, Excalibur, Park MGM, and Circus Las Vegas. The Regional Operations segment consists of the following casino resorts: MGM Grand Detroit in Detroit, Michigan; Beau Rivage in Biloxi, Mississippi; Gold Strike Tunica in Tunica, Mississippi; Borgata in Atlantic City, New Jersey; MGM National Harbor in Prince George's County, Maryland; and MGM Springfield in Springfield, Massachusetts. The MGM China segment consists of MGM Macau and MGM Cotai. The company was founded by Kerkor Kerkorian on January 29, 1986 and is headquartered in Las Vegas, NV. Read Less",Travel & Leisure,United States,"65,000",$14.1B,$43.5B,$1.9B,MGM.json,Consumer Cyclical,MGM,MGM Resorts International,MGM Resorts International,USD,14305591296,14.028213,15.484428,3.19,0.01,0.00029999999,1670457600,0.88752574,3.8342903,0.47217,0.09636,0.07086,0.02247,0.27012,N/A,45.414,0.219,2397216000,2927833088,9.159,31640819712,724.46,1.571,"(45.0, 68.0)"
Neste,NESTE.HE,"Neste Corp. engages in the production of petroleum products and supply of renewable diesel. It operates through the following segments: Renewable Products, Oil Products, Marketing & Services, and Others. The Renewable Products segment produces, markets, and sells renewable diesel, renewable jet fuels and solutions, renewable solvents as well as raw material for bioplastics. The Oil Products segment includes diesel fuel, gasoline, aviation and marine fuels, light and heavy fuel oils, base oils, gasoline components, engine gasoline, solvents, liquid gases, and bitumens. The Marketing & Services segment sells petroleum products and associated services directly to end-users such as private motorists, industry, transport companies, farmers, and heating oil customers. The Others segment consists of engineering and technology solutions company Neste Jacobs, joint venture firm Nynas, and common corporate costs. The company was founded on January 9, 1948 and is headquartered in Espoo, Finland. Read Less",Oil & Gas Operations,Finland,"5,428",$26.5B,$17B,$1.5B,NESTE.HE.json,Energy,NESTE.HE,Neste Corporation,Neste Oyj,EUR,18529323008,12.8983965,9.312742,1.87,1.2,0.048600003,1711584000,0.8082231,2.1893437,0.15956001,0.06583,0.06251,0.06776,0.17105,N/A,29.845,-0.039,2286000128,1580000000,2.057,4068000000,48.068,2.103,"(18.0, 49.0)"
East Japan Railway,9020.T,"East Japan Railway Co. engages in the business of railway transportation services. It operates through the following segments: Transportation, Retails and Services, Real Estate and Hotels, and Others. The Transportation segment handles the transportation business centered on railway business. It also manages travel, cleaning maintenance, station operation, railway car manufacturing, and railway car maintenance businesses. The Retails and Services segment offers lifestyle services in retail, restaurant, wholesale, freight, and advertising businesses. The Real Estate and Hotels segment operates shopping centers and manages lending and hotel businesses. The Others segment includes information technology (IT) and Suica businesses. The company was founded on April 1, 1987 and is headquartered in Tokyo, Japan. Read Less",Transportation and Logistics,Japan,"46,051",$17.8B,$70.3B,$732.3M,9020.T.json,Industrials,9020.T,EAST JAPAN RAILWAY CO,East Japan Railway Company,JPY,3437738065920,16.05807,17.44763,562.77,140.0,0.0156,1711584000,1.2829889,1.2859219,0.35036,0.15219,0.07907,0.02167,0.08297,N/A,7114.264,0.146,725093253120,380466003968,1009.637,4592550019072,171.843,0.915,"(7200.0, 9550.0)"
Telstra,TLS.AX,"Telstra Corp. Ltd. engages in the provision of telecommunications and information services for domestic and international customers. It operates through the following segments: Telstra Consumer and Small Business, Telstra Enterprise, Telstra Wholesale, Networks and IT, Telstra InfraCo and Others. The Telstra Consumer and Small Business segment comprises of telecommunication products, services, and solutions across mobiles, fixed and mobile broadband, telephony and play TV/IPTV, and digital content to consumer and small business customers in Australia. The Telstra Enterprise segment sells and contracts management for medium to large business and government customers in Australia and globally. The Networks and IT segment is responsible for the overall planning, design, engineering architecture and construction of Telstra networks, technology and information technology solutions. Telstra InfraCo segment is responsible for key network assets including data centres and exchanges, the copper and hybrid fibre coaxial networks, international subsea cables, poles, ducts and pipes. The Other segments include certain items of income and expense relating to multiple reportable segments that are recorded by its corporate areas. The company was founded in 1901 and is headquartered in Melbourne, Australia. Read Less",Telecommunications Services,Australia,"28,889",$15.4B,$28.6B,$1.2B,TLS.AX.json,Communication Services,TLS.AX,TELSTRA FPO [TLS],Telstra Group Limited,AUD,43617861632,20.972221,19.868422,0.18,0.18,0.0475,1709078400,1.9113038,2.8490565,0.45747003,0.14713,0.08882,0.04942,0.122209996,N/A,1.982,0.011,6437000192,1016000000,0.088,16474999808,92.979,0.659,"(3.73, 4.9)"
Ferguson,FERG.L,"Ferguson Plc engages in the supply of plumbing and heating products to professional contractors & consumers; repair, maintenance and improvement and new construction markets through its subsidiaries.  The company was founded in 1887 and is headquartered in Wokingham, the United Kingdom.",Trading Companies,United Kingdom,"36,000",$30B,$15.2B,$2.1B,FERG.L.json,Industrials,FERG.L,FERGUSON PLC ORD 10P,Ferguson plc,USD,35264233472,25.701626,2064.057,6.77,2.48,0.0146,1710374400,1.2011389,651.954,0.30321,0.07103,0.05998,0.105979994,0.34723,N/A,143.741,-0.022,2942000128,639000000,3.151,5288999936,97.619,1.799,"(104.06, 176.11)"
Kubota,6326.T,"Kubota Corp. engages in the manufacture and sale of agricultural and construction machinery equipment. It operates through the following segments: Machinery; Water and Environment; and Others. The Machinery segment consists of agricultural equipment and its related products, engines, and construction machinery. The Water and Environment segment includes pipe-related products such as ductile iron pipes, plastic pipes, valves, and pumps; environment-related products; and social infrastructure-related products such as industrial castings, spiral welded steel pipes, vending machines, electronic weighing systems, precision and air-conditioning equipment. The Others segment offers design, construction and residential equipment manufacturing services. Its products include tractors, combine harvester and rice trans planter, utility vehicle, turf equipment, weighing and measuring control systems, ductile iron pipes, valves, pumps, environmental equipment and plant engineering, membrane solutions, waste water treatment plant and materials. The company was founded by Gonshiro Kubota in February 1890 and is headquartered in Osaka, Japan. Read Less","Engineering, Manufacturing",Japan,"50,352",$20.4B,$35.9B,$1.2B,6326.T.json,Industrials,6326.T,KUBOTA CORP,Kubota Corporation,JPY,2825826861056,11.925423,13.161495,201.67,48.0,0.020299999,1703721600,0.935484,1.2987708,0.29015,0.09177,0.078940004,0.040599998,0.11508001,N/A,2555.647,N/A,436098990080,305136009216,259.694,1990206947328,82.374,1.728,"(1800.0, 3100.0)"
Colgate-Palmolive,CL,"Colgate-Palmolive Co. is engaged in the manufacturing and distribution of consumer products. It operates through Oral, Personal and Home Care and Pet Nutrition segments. The Oral, Personal and Home Care segment represents North America, Latin America, Europe, Asia Pacific, and Africa or Eurasia, all of which sell to a variety of retail and wholesale customers and distributors. The Pet Nutrition segment offers pet nutrition products for dogs and cats. The company was founded by William Colgate in 1806 and is headquartered in New York, NY.",Packaged Goods,United States,"4,732",$18.3B,$16.2B,$1.6B,CL.json,Consumer Defensive,CL,Colgate-Palmolive Company,Colgate-Palmolive Company,USD,73071108096,32.046932,23.360525,2.77,2.0,0.0226,1713484800,3.7555177,119.79757,0.58216,0.27051002,0.11821,0.15338999,2.78503,N/A,23.516,0.069,4509000192,1144999936,1.391,9063999488,947.126,1.113,"(70.0, 96.0)"
Kuwait Finance House,KFIN.KW,"Kuwait Finance House KSC engages in the provision of banking, finance and investment services. It operates through the following segments: Treasury, Retail and Private Banking, Corporates Banking, and Investment. The Treasury segment deals with liquidity management, international murabaha investments, exchange of deposits with banks and financial institution, and international banking relationships. The Retail and Private Banking segment provides banking products and services to individual customers. The Corporates Banking segment offers banking services and investment products to corporates, providing commodity and real estate murabaha finance, and local leasing. The Investment segment manages direct equity and real estate investments, investments in subsidiaries and associates, and international leasing. The company was founded on March 23, 1977 and is headquartered in Kuwait City, Kuwa it. Read Less",Banking,Kuwait,"15,000",$6.3B,$120.1B,$1.4B,KFIN.KW.json,N/A,KFIN.KW,N/A,Kuwait Finance House (K.S.C.P.),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"('N/A', 'N/A')"
AutoZone,AZO,"AutoZone, Inc. engages in the retail and distribution of automotive replacement parts and accessories. The firm offers ALLDATA, which produces, sells, and maintains diagnostic and repair information software used in the automotive repair industry. The company was founded by Joseph R. Hyde, III on July 4, 1979 and is headquartered in Memphis, TN.",Auto Parts,United States,"112,000",$16.9B,$15.5B,$2.4B,AZO.json,Consumer Cyclical,AZO,"AutoZone, Inc.","AutoZone, Inc.",USD,55549227008,22.633953,19.208998,141.84,N/A,N/A,N/A,3.1153936,N/A,0.5294,0.19259001,0.147,0.1423,N/A,N/A,999.527,0.046,4192626944,357409984,20.656,12026298368,N/A,0.816,"(2600.0, 3556.0)"
Raiffeisen Bank International,RBI.VI,"Raiffeisen Bank International AG engages in the provision of banking and financial solutions. The firm offers a range of products including financing, leasing, hedging, trade and export finance, cash management, payment and fund, as well as securities and cards services. It operates through the following segments: Central Europe, Southeastern Europe, Eastern Europe, Group Corporates & Markets, and Corporate Center. The Central Europe encompasses the banking markets in Czech Republic, Hungary and Slovakia. The Southeastern Europe represents banks and leasing companies, as well as capital management and asset management companies and pension funds operating in Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, Romania and Serbia. The Eastern Europe segment covers banking services for corporate and retail customers in Belarus, Kazakhstan, Russia and Ukraine. The Group Corporates & Markets segment covers operating business booked in Austria. The Corporate Center segment refers to central management functions at the head office and other units. The company was founded in October 2010 and is headquartered in Vienna, Austria. Read Less",Banking and Financial Services,Austria,"44,559",$14.7B,$229.2B,$3.9B,RBI.VI.json,Financial Services,RBI.VI,Raiffeisen Bank Internat. AG,Raiffeisen Bank International AG,EUR,5835064320,2.5605187,6.8084297,6.94,1.25,0.0701,1712620800,0.67108274,0.31339285,N/A,0.471,0.27441,0.01272,0.13352999,N/A,26.509,-0.239,N/A,49746001920,151.496,26460000256,N/A,N/A,"(10.5, 22.8)"
China Merchants Shekou Industrial Zone Holdings,001979.SZ,"China Merchants Shekou Industrial Zone Holdings Co., Ltd. engages in the development and operation of real estate. It operates through the following business segments: Community development and operation, Park development and operation, and Cruise industry construction and operation. The Community development and operation segment develops residential areas. The Park development and operation segment engages in industrial park development, spatial planning, and industrial clustering as well as provides ecosystem services to promote industrial innovation. The Cruise industry construction and operation segment develops and operates cruise homeports. The company was founded on January 31, 1979 and is headquartered in Shenzhen, China. Read Less",Construction,China,"58,037",$25.1B,$132.9B,$596.9M,001979.SZ.json,Real Estate,001979.SZ,CHINA MERCHANTS SH,"China Merchants Shekou Industrial Zone Holdings Co., Ltd.",CNY,85896765440,14.584615,9.294117,0.65,0.23,0.024300002,1683849600,0.49081746,0.8708433,0.14586,0.055120002,0.03611,0.00874,0.03134,N/A,18.001,0.061,15239534592,88927035392,9.814,249144229888,83.975,1.559,"(7.8, 17.0)"
Sompo,8630.T,"Sompo Holdings, Inc. engages in the provision of insurance services. It operates through the following segments: Domestic Property and Casualty Insurance, Domestic Life Insurance, Overseas Insurance, and Others. The Domestic Property and Casualty Insurance segment provides underwriting of property and casualty insurance, investment, and related services. The Domestic Life Insurance segment performs asset management and underwriting of life insurance. The Overseas Insurance segment handles the insurance underwriting and asset management business overseas. The Others segment includes defined contribution pension, asset management and health care businesses. The company was founded on April 1, 2010 and is headquartered in Tokyo, Japan. Read Less",Insurance,Japan,"47,776",$33.8B,$113.2B,$598.6M,8630.T.json,Financial Services,8630.T,SOMPO HOLDINGS INC,"Sompo Holdings, Inc.",JPY,3168047726592,6.9435225,9.984749,1386.04,300.0,0.0311,1711584000,0.6650996,1.2369845,0.29595,0.21475,0.07906,0.02619,0.17456,N/A,14376.585,0.073,698031996928,1440223985664,4375.161,687159967744,26.638,0.533,"(6820.0, 10500.0)"
Grupo Bimbo,BIMBOA.MX,"Grupo Bimbo SA de CV engages in the manufacturing, distribution, and sale of baked products. It operates through the following geographical segments: Mexico, North America, Latin America, and Europe. It offers fresh and frozen sliced bread, buns, cookies, snack cakes, English muffins, bagels, pre-packaged foods, tortillas, salted snacks, and confectionery goods. The company was founded by Lorenzo Servitje, Roberto Servitje Sendra, Jaime Jorba, Alfonso Velasco, Jaime Sendra, and José T. Mata on December 2, 1945 and is headquartered in Mexico City, Mexico.","Food, Drink & Tobacco",Mexico,"139,639",$20.7B,$18.7B,$2.4B,BIMBOA.MX.json,Consumer Defensive,BIMBOA.MX,GRUPO BIMBO SAB DE CV,"Grupo Bimbo, S.A.B. de C.V.",MXN,334398619648,12.620232,17.101124,6.03,2.08,0.026800001,1684195200,0.83624893,3.0855937,0.51651,0.080019996,0.0387,0.06943,0.14161,N/A,90.43,-0.063,53184401408,6353123840,1.446,136772501504,122.525,0.676,"(73.8, 110.0)"
China National Nuclear Power,601985.SS,"China National Nuclear Power Co., Ltd. engages in the electricity sales business. It provides nuclear power related technical services and consulting services. Its business includes development, investment, construction, operation, and management of nuclear power projects; investment and development of clean energy projects; transmission and distribution project investment, and investment management; research on nuclear power operation safety technology, and related technical services and consulting services; and sale of electricity. The company was founded on January 21, 2008 and is headquartered in Beijing, China. Read Less",Utilities,China,"17,090",$10.4B,$69.7B,$1.3B,601985.SS.json,Utilities,601985.SS,CHINA NATIONAL NUCLEAR POWER CO,"China National Nuclear Power Co., Ltd.",CNY,163718201344,16.358492,14.213115,0.53,0.17,0.0196,1689292800,2.1925008,1.8442883,0.44118,0.42043,0.13798,0.03832,0.12219,N/A,3.855,0.092,45683908608,16774641664,0.888,299724865536,192.862,0.931,"(8.54, 10.78)"
Hess,HES,"Hess Corp is an exploration and production company, which engages in exploration, development, production, transportation, purchase & sale of crude oil, natural gas liquids and natural gas with production operations. It operates through the following segments: Exploration and Production and Midstream. The Exploration and Production segment explores for, develops, produces, purchases and sells crude oil, natural gas liquids and natural gas. The Midstream segment provides fee-based services including crude oil and natural gas gathering, processing of natural gas and the fractionation of natural gas liquids, transportation of crude oil by rail car, terminaling and loading crude oil and natural gas liquids, and the storage and terminaling of propane, primarily in the Bakken shale play of North Dakota. The company was founded by Leon Hess in 1920 and is headquartered in New York, NY. Read Less","Construction, Oil & Gas Operations, Mining and Chemicals",United States,"1,623",$12.5B,$21.9B,$2.2B,HES.json,Energy,HES,Hess Corporation,Hess Corporation,USD,45870080000,33.26058,15.836691,4.49,1.75,0.0117,1710460800,4.455569,5.087725,0.73463,0.26271,0.13424,0.08044,0.19207,N/A,33.655,0.025,5072000000,1688000000,5.514,9600000000,99.979,1.049,"(145.0, 205.0)"
CK Asset Holdings,1113.HK,"CK Asset Holdings Ltd. engages in the property development business. It also specializes in property management, infrastructure and utility assets, and aircraft leasing. The company was founded on January 2, 2015 and is headquartered in Hong Kong.",Construction,Hong Kong,"55,000",$7.3B,$66B,$2.8B,1113.HK.json,Real Estate,1113.HK,CK ASSET,CK Asset Holdings Limited,HKD,130591416320,7.5720162,7.316103,4.86,2.05,0.0557,1693785600,2.8872104,0.34197563,0.55745,0.28697002,0.42806998,0.01589,0.04901,N/A,12.558,-0.311,14682000384,43518001152,12.213,54919999488,13.822,4.102,"(38.0, 53.1)"
SingTel,Z74.SI,"Singapore Telecommunications Ltd. is an investment holding company, which engages in the provision of telecommunications systems and services. It operates through the following segments: Group Consumer, Group Enterprise, Group Digital Life, and Corporate. The Group Consumer segment includes mobile, pay TV, fixed broadband and voice, as well as equipment sales. The Group Enterprise segment provides services include mobile, equipment sales, fixed voice and data, managed services, cloud computing, cyber security, information technology, and professional consulting. The Group Digital Life segment focuses on digital marketing, regional premium over-the-top video, and advanced analytics and intelligence capabilities. The Corporate segment comprises the costs of Group functions not allocated to the business segments.The company was founded on March 28, 1992 and is headquartered in Singapore. Read Less","Telecommunications Services, Cable Supplier",Singapore,"24,000",$10.9B,$33B,$1.6B,Z74.SI.json,Communication Services,Z74.SI,Singtel,Singapore Telecommunications Limited,SGD,41753350144,13.315789,14.882353,0.19,0.11,0.041500002,1700179200,2.925256,1.595208,0.24104,0.089899994,0.21902001,N/A,N/A,N/A,0.864,-0.032,3206324992,1827100032,0.111,11262499840,41.39,N/A,"(2.8, 3.5)"
Deutsche Lufthansa,LHA.DE,"Deutsche Lufthansa AG engages in the provision of passenger, freight, and cargo airline services. It operates through the following segments: Network Airlines, Eurowings, Logistics, Maintenance Repair Overhaul, Catering and Additional Businesses and Group Functions. The Network Airlines segment comprises Lufthansa German Airlines, SWISS, and Austrian Airlines. The Eurowings segment focuses on the growing market for european direct sales. The Logistics segment consists of scheduled airfreight activities of the Lufthansa Cargo group. The Maintenance Repair Overhaul segment is involved in the provision of maintenance, repair, and overhaul services for civilian commercial aircraft. The Catering segment is engaged in providing airline catering. The company was founded on January 6, 1926 and is headquartered in Cologne, Germany. Read Less",Airlines,Germany,"109,509",$35.8B,$48.8B,$944.3M,LHA.DE.json,Industrials,LHA.DE,LUFTHANSA AG VNA O.N.,Deutsche Lufthansa AG,EUR,8290183680,4.3031054,4.33,1.61,N/A,N/A,1557273600,0.23369086,0.8582756,0.20942,-0.00978,0.04716,0.02934,0.21305999,N/A,29.673,0.047,3937999872,8264999936,6.907,13946999808,143.65,0.787,"(6.6, 13.6)"
Rogers Communications,RCI-B.TO,"Rogers Communications, Inc. engages in the provision of wireless communications services. It operates through the following segments: Wireless, Cable, and Media. The Wireless segment refers to wireless telecommunications operations for Canadian consumers and businesses. The Cable segment cover Internet, television, telephony, and smart home monitoring services. The Media segment consists of diversified portfolio of media properties, including sports media and entertainment, television and radio broadcasting, specialty channels, multi-platform shopping, and digital media. The company was founded by Edward Samuel Rogers, Jr. in 1960 and is headquartered in Toronto, Canada. Read Less","Telecommunications Services, Cable Supplier",Canada,"22,000",$11.8B,$41.5B,$1.4B,RCI-B.TO.json,Communication Services,RCI-B.TO,"ROGERS COMMUNICATIONS INC., CL.",Rogers Communications Inc.,CAD,30344562688,35.1358,10.40585,1.62,2.0,0.0346,1709856000,1.5716058,2.88978,0.44443,0.21743,0.04397,0.044749998,0.08270001,N/A,36.918,0.281,8223000064,880000000,1.656,46241001472,442.921,0.892,"(67.0, 86.0)"
Publicis Groupe,PUB.PA,"Publicis Groupe SA engages in the advertising industry. Its services include customer relationship management, direct marketing, sales promotion, events management, public relations, and corporate, multicultural and financial communications. The company was founded by Marcel Bleustein-Blanchet in 1926 and is headquartered in Paris, France.",Media & Advertising,France,"16,000",$14.9B,$38.3B,$1.3B,PUB.PA.json,Communication Services,PUB.PA,PUBLICIS GROUPE SA,Publicis Groupe S.A.,EUR,24856184832,19.192232,12.954127,5.15,2.9,0.0296,1688342400,1.679245,2.5303364,0.43231,0.15785,0.088640004,0.03797,0.13665,N/A,59.041,0.006,2956000000,4249999872,16.961,5539999744,56.832,0.941,"(72.0, 117.0)"
Swisscom,SCMN.SW,"Swisscom AG engages in the provision of telecommunication services. It operates through the following segments: Swisscom Switzerland, Fastweb, Other Operating Segments, and Group Headquarters. The Swisscom Switzerland segment comprises residential customers; enterprise customers; wholesale; and information technology, network, and infrastructure. The Fastweb segment involves video-on-demand, voice, data, broadband, and television services for residential and corporate customers. The Other Operating segment comprises digital business and participations. The Group Headquarters segment consists non-allocated costs. The company was founded in 1852 and is headquartered in Worblaufen, Switzerland. Read Less",Telecommunications Services,Switzerland,"19,157",$11.6B,$27.7B,$1.7B,SCMN.SW.json,Communication Services,SCMN.SW,SWISSCOM N,Swisscom AG,CHF,27610413056,16.13196,17.643166,33.04,22.0,0.0414,1712016000,2.493715,2.3763137,0.55645,0.1993,0.15453,0.057979997,0.15012999,N/A,213.738,-0.001,3872000000,198000000,3.822,7580000256,65.221,0.856,"(409.0, 674.0)"
Mitsubishi Heavy Industries,7011.T,"Mitsubishi Heavy Industries, Ltd. engages in the manufacture and sale of ships, industrial machinery, and aircrafts. It operates through the following segments: Power, Industry & Social Infrastructure, Aviation, Defense, Space, and Others and Common. The Power segment handles thermal power generation system, nuclear equipment, wind power generation equipment, and aircraft engines. The Industry & Social Infrastructure segment provides logistics equipment, turbochargers, cooling products, car air conditioners, transportation systems, and environmental equipment. The Aviation, Defense, Space segment deals with commercial and defense aircraft, ships, special vehicles, and space equipment. The Others and Common segment includes construction and real estate businesses. The company was founded by Yataro Iwasaki on July 7, 1884 and is headquartered in Tokyo, Japan. Read Less","Engineering, Manufacturing",Japan,"77,283",$31.6B,$41.5B,$988.1M,7011.T.json,Industrials,7011.T,MITSUBISHI HEAVY INDUSTRIES,"Mitsubishi Heavy Industries, Ltd.",JPY,4557081935872,22.529034,18.101238,601.89,160.0,0.0119,1711584000,1.0069969,2.3758836,0.19580999,0.07694,0.044650003,0.03006,0.11988,N/A,13468.957,0.121,426521985024,348279996416,1036.339,1643350065152,81.02,1.148,"(7700.0, 15000.0)"
SK,034730.KS,"SK Holdings Co., Ltd. engages in provision of information technology(IT) services. It operates through the holding and IT business divisions. The holding division provides management training services. IT business division offers system integration and IT outsourcing services. The company was founded on April 13, 1991 and is headquartered at Seoul, South Korea.",Diversified Financials,South Korea,"4,448",$104.6B,$153.8B,$850.3M,034730.KS.json,Industrials,034730.KS,SK,SK Inc.,KRW,10676054523904,N/A,6.435851,N/A,3500.0,0.0183,1711670400,0.08134888,N/A,0.09722,0.00565,-0.00592,0.01382,-0.01733,N/A,2355293.5,-0.014,13427300892672,25812550025216,465743.34,84232059748352,108.158,0.971,"(200000.0, 330000.0)"
Vertex Pharmaceuticals,VRTX,"Vertex Pharmaceuticals, Inc. engages in the business of discovering, developing, manufacturing and commercializing small molecule drugs for patients with serious diseases. It focuses on development and commercializing therapies for the treatment of cystic fibrosis, infectious diseases including viral infections such as influenza and bacterial infections, autoimmune diseases such as rheumatoid arthritis, cancer, inflammatory bowel disease and neurological disorders including pain and multiple sclerosis. The company was founded by Joshua S. Boger in 1989 and is headquartered in Boston, MA.",Drugs & Biotechnology,United States,"3,500",$9B,$19B,$3.3B,VRTX.json,Healthcare,VRTX,Vertex Pharmaceuticals Incorpor,Vertex Pharmaceuticals Incorporated,USD,107381219328,29.928724,24.61279,13.89,N/A,N/A,N/A,10.880438,6.0934887,0.55162996,0.37971002,0.36676,0.13171,0.22986999,N/A,38.297,0.093,4477000192,11218299904,43.43,808400000,4.598,3.987,"(299.17, 528.38)"
